ec_id,Division,Polling Place Name,Premise_Address_Line_1,Premise_Address_Line_2,Premise_Locality,state,Premise_Postcode,Location_Within_Premise,Access_To_Location,Disabled_Access,VI_Vote_service,Premise Latitude,Premise Longitude,Premise Name
,Bass,Kings Meadows,146 Punchbowl Rd,,Newstead,TAS,7250,Multipurpose hall,,Assistance,,-41.45307449,147.1646544,Punchbowl Primary School
,Bass,Norwood,103 Norwood Ave,,Norwood,TAS,7250,Hall,,Assistance,,-41.46282,147.17329,Norwood Primary School
,Bass,Nunamara,39461 Tasman Hwy,,Nunamara,TAS,7259,,,Assistance,,-41.3948,147.29453,Nunamara Hall
,Bass,Pipers River,76 School Rd,,Pipers River,TAS,7252,,,Assistance,,-41.10039,147.09152,Pipers River Fire Station
,Bass,Ravenswood,27 Prossers Forest Rd,,Ravenswood,TAS,7250,Gymnasium,,Assistance,,-41.41627,147.17662,Ravenswood Heights Primary School
,Bass,Ringarooma,4 Charles St,,Ringarooma,TAS,7263,,,Assistance,,-41.24219,147.73579,Ringarooma Hall
,Bass,Riverside,354 West Tamar Hwy,,Riverside,TAS,7250,Gymnasium,,Assistance,,-41.40874,147.09891,Riverside High School
,Bass,Rocherlea,41 Archer St,,Rocherlea,TAS,7248,,,Assistance,,-41.37392464,147.1317273,Rocherlea Memorial Hall
,Bass,Scottsdale,20 Coplestone St,,Scottsdale,TAS,7260,,,Assistance,,-41.15479201,147.5099324,Scottsdale High School
,Bass,Sidmouth,255 Batman Hwy,,Sidmouth,TAS,7270,,,Assistance,,-41.22195,146.88767,Sidmouth Community Centre
,Bass,South Launceston,50 Glen Dhu St,,South Launceston,TAS,7249,Auditorium,,None,,-41.45564437,147.1412667,Launceston Conference Centre (Door of Hope Complex)
,Bass,Five Ways,6 Hobart Rd,,South Launceston,TAS,7249,,,Assistance,,-41.45903,147.1537,St Mark's Church Hall
,Bass,St Leonards,330-342 St Leonards Rd,,St Leonards,TAS,7250,Roberts Room,Car park via Station Rd,Assistance,,-41.4597,147.20031,St Leonards Primary School
,Bass,Summerhill,87 Stanley St,,Summerhill,TAS,7250,,,Assistance,,-41.46734935,147.1303817,Summerhill Baptist Church
,Bass,Riverside West,34 Pitt Ave,,Trevallyn,TAS,7250,Auditorium,,Assistance,,-41.43059,147.10612,Trevallyn Life Church
,Bass,Trevallyn,55 Gorge Rd,,Trevallyn,TAS,7250,Multipurpose room,,Full,,-41.43784,147.11397,Trevallyn Primary School
