ec_id,name,premises,address,lat,lon,state,wheelchair_access
,Makybe Rise Primary School,,"Makybe Drive, BALDIVIS WA 6171",-32.345053,115.817635,WA,Wheelchair Access
,Rivergums Primary School,,"1 Avoca Chase, BALDIVIS WA 6171",-32.336,115.82991,WA,Wheelchair Access
,Sheoak Grove Primary School,,"Nyilla Approach, BALDIVIS WA 6171",-32.323884,115.821923,WA,Wheelchair Access
,South Coast Baptist College,,"30 Gnangara Drive, WAIKIKI WA 6169",-32.31479,115.75694,WA,Wheelchair Access
,Tranby College,,"17 Tranby Drive, BALDIVIS WA 6171",-32.34053,115.80156,WA,Wheelchair Access
,Tuart Rise Primary School,,"31 Kempeana Way, BALDIVIS WA 6171",-32.354044,115.814146,WA,Wheelchair Access
,Waikiki Primary School,,"Arnside Bend, WAIKIKI WA 6169",-32.319586,115.762333,WA,Wheelchair Access
,Wellard Primary School,,"25 Breccia Parade, WELLARD WA 6170",-32.262238,115.846959,WA,Wheelchair Access
,Anzac Terrace Primary School,,"176 Anzac Terrace, BASSENDEAN WA 6054",-31.89768,115.93692,WA,
,Bassendean Primary School,,"70 West Road, BASSENDEAN WA 6054",-31.907705,115.953843,WA,Wheelchair Access
,Beechboro Primary School,,"20 King Road, BEECHBORO WA 6063",-31.86847,115.93609,WA,Wheelchair Access
,Cracovia Club,,"375 Marshall Road, BEECHBORO WA 6063",-31.85587,115.93375,WA,Wheelchair Access
,Cyril Jackson Senior Campus,,"53 Reid Street, ASHFIELD WA 6054",-31.91291,115.942465,WA,
,East Beechboro Primary School,,"Brockmill Avenue, BEECHBORO WA 6063",-31.87285,115.950898,WA,Wheelchair Access
,Eden Hill Primary School,,"83 A Ivanhoe Street, EDEN HILL WA 6054",-31.893004,115.94596,WA,Wheelchair Access
,Hampton Senior High School,,"72 Morley Drive East, MORLEY WA 6062",-31.8901,115.92653,WA,Wheelchair Access
,Lockridge Primary School,,"48 Rosher Road, LOCKRIDGE WA 6054",-31.88315,115.95118,WA,Wheelchair Access
,Swan Active Beechboro,,"332 Benara Road, BEECHBORO WA 6063",-31.874818,115.939808,WA,Wheelchair Access
,Applecross Primary School,,"65 Kintail Road, APPLECROSS WA 6153",-32.01127,115.83897,WA,Wheelchair Access
,Applecross Voting Centre,,"Shop 4-6/890 Canning Highway, APPLECROSS WA 6153",-32.013058,115.847561,WA,Wheelchair Access
,Ardross Primary School,,"46 Links Road, ARDROSS WA 6153",-32.0274,115.83382,WA,
,Bateman Primary School,,"2 Bartling Crescent, BATEMAN WA 6150",-32.05127,115.84548,WA,
,Booragoon Primary School,,"10 Clements Road, BOORAGOON WA 6154",-32.03481,115.82626,WA,
,Brentwood Primary School,,"2 Dawson Road, BRENTWOOD WA 6153",-32.04172,115.84764,WA,Wheelchair Access
,Corpus Christi College,,"50 Murdoch Drive, BATEMAN WA 6150",-32.05664,115.8419,WA,Wheelchair Access
,Kardinya Primary School,,"Ochiltree Way, KARDINYA WA 6163",-32.062048,115.823018,WA,Wheelchair Access
,Mount Pleasant Baptist Church,,"497 Marmion Street, BOORAGOON WA 6154",-32.040409,115.825011,WA,Wheelchair Access
,Mount Pleasant Primary School,,"29 Queens Road, MOUNT PLEASANT WA 6153",-32.029842,115.845946,WA,Wheelchair Access
,St Benedict's Primary School,,"70 Alness Street, ARDROSS WA 6153",-32.01863,115.83894,WA,Wheelchair Access
,Winthrop Primary School,,"70-80 Jackson Avenue, WINTHROP WA 6150",-32.05488,115.83353,WA,
,Belmont City College,,"106 Fisher Street, BELMONT WA 6104",-31.95806,115.93413,WA,Wheelchair Access
,Belmont Park Tennis Club,,"Cnr Robinson Avenue and Scott Street , CLOVERDALE WA 6105",-31.97187,115.94483,WA,Wheelchair Access
