di_name,pplace,disabled_code,AccessDetails,suburb,Address,FormatAddress,SortId,Longitude,Latitude
Giles,Whyalla Norrie East,F,,WHYALLA NORRIE,Nicolson Ave Primary School,"93 Nicolson Ave, WHYALLA NORRIE",,137.550636,-33.02905
Giles,Whyalla Norrie North,A,,WHYALLA NORRIE,Hincks Ave Primary School,"6 Schulz Ave, WHYALLA NORRIE",,137.545,-33.0192
Giles,Whyalla Norrie North-West,A,,WHYALLA NORRIE,Fisk St Primary School,"Pattinson Cl, WHYALLA NORRIE",,137.533,-33.0167
Giles,Whyalla Norrie South,F,,WHYALLA NORRIE,Long St Primary School,"40 Eyre Ave, WHYALLA NORRIE",,137.532,-33.0391
Giles,Whyalla Stuart West,F,,WHYALLA STUART,Whyalla Stuart Campus,"76 Bastyan Cres, WHYALLA STUART",,137.517482,-33.016283
Giles,Woomera,A,,WOOMERA,Woomera Youth Centre,"Bool St, WOOMERA",,136.827052,-31.19874
Hammond,Callington,A,,CALLINGTON,Callington Memorial Hall,"9-13 Callington Rd, CALLINGTON",,139.039367,-35.113538
Hammond,Harrogate,A,,HARROGATE,Harrogate Soldiers Memorial Hall,"13 Mail Rd, HARROGATE",,139.011006,-34.950178
Hammond,Jervois,A,,JERVOIS,Jervois Hall,"Henningson Rd, JERVOIS",,139.436404,-35.265639
Hammond,Langhorne Creek,A,,LANGHORNE CREEK,Langhorne Creek Soldiers Memorial Hall  ,"89 Bridge Rd, LANGHORNE CREEK",,139.036486,-35.29594695
Hammond,Mannum,F,,MANNUM,Mannum Leisure Centre,"51 Adelaide Rd, MANNUM",,139.302551,-34.914131
Hammond,Murray Bridge,A,,MURRAY BRIDGE,Murray Bridge North School Gym,"28-40 Railway Tce, MURRAY BRIDGE",,139.270828,-35.115619
Hammond,Murray Bridge East,A,,MURRAY BRIDGE EAST,Murray Bridge Basketball Stadium,"Murray Bridge Showgrounds, 113 Old Princes Hwy, MURRAY BRIDGE EAST",,139.303034,-35.114437
Hammond,Murray Bridge South,A,Gymnasium via Long Island Rd,MURRAY BRIDGE,Murray Bridge High School,"5 Lohmann St, MURRAY BRIDGE",,139.285942,-35.136178
Hammond,Murray Bridge West,A,,MURRAY BRIDGE,Bridge Evangelical Christian Church,"10 Thomas St, MURRAY BRIDGE",,139.265575,-35.125951
Hammond,Mypolonga,A,,MYPOLONGA,Mypolonga Institute Hall,"6-8 Green St, MYPOLONGA",,139.35438,-35.039444
Hammond,Palmer,A,,PALMER,Collier Park Hall,"Oval Complex, Olive Grove Ave, PALMER",,139.161997,-34.854075
Hammond,Ponde,N,,PONDE,Ponde Hall,"443 Dabinett Rd, PONDE",,139.31,-34.9511
Hammond,Strathalbyn,A,,STRATHALBYN,Strathalbyn Town Hall,"9-11 High St, STRATHALBYN",,138.892592,-35.25492
Hammond,Wellington,A,,WELLINGTON,Wellington Hall,"3444 Jervois Rd, WELLINGTON",,139.382,-35.3313
Hammond,Woodchester,A,,WOODCHESTER,Richardson Hall,"1372 Callington Rd, WOODCHESTER",,138.967739,-35.203918
Hammond,Woods Point,N,via Arthur St,WOODS POINT,Woods Point Community Hall,"Jean St, WOODS POINT",,139.381,-35.2196
Hartley,Campbelltown,F,carpark via Rowney Ave,CAMPBELLTOWN,Campbelltown Uniting Church,"607 Lower North East Rd, CAMPBELLTOWN",,138.662549,-34.879385
Hartley,Dernancourt,A,,DERNANCOURT,Dernancourt School R-7,"29 Parsons Rd, DERNANCOURT",,138.67119,-34.86131
Hartley,Felixstow,A,,FELIXSTOW,Felixstow Education Office,"5-11 Briar Rd, FELIXSTOW",,138.645,-34.8925
Hartley,Glynde,A,,GLYNDE,Zion Lutheran Church Glynde,"15-17 Glynburn Rd, GLYNDE",,138.6562883,-34.89143418
Hartley,Hectorville,A,,HECTORVILLE,East Torrens Primary School,"12 Robson Rd, HECTORVILLE",,138.666936,-34.890378
Hartley,Holden Hill,A,via Lyons Rd,HOLDEN HILL,Kildare College,"96-98 Valiant Rd, HOLDEN HILL",,138.671,-34.8566
Hartley,Magill,F,Gymnasium via Magill Rd,MAGILL,Magill Primary School,"11 Adelaide St, MAGILL",,138.677606,-34.913054
Hartley,Magill South,A,,MAGILL,Morialta Uniting Church ,"26 Chapel St, MAGILL",,138.6732975,-34.91540628
Hartley,Newton,A,via Graves St,NEWTON,St Francis of Assisi School,"57 Newton Rd, NEWTON",,138.674578,-34.882453
Hartley,Paradise,F,,PARADISE,Charles Campbell College,"3 Campbell Rd, PARADISE",,138.673329,-34.875391
Hartley,Paradise East,F,,PARADISE,Paradise Primary School,"100 George St, PARADISE",,138.685245,-34.869982
Hartley,Rostrevor South,A,,MAGILL,Magill Church of Christ,"61 St Bernards Rd, MAGILL",,138.6758429,-34.9056768
Hartley,Tranmere South,N,,TRANMERE,St Joseph's Parish School,"1 Birkinshaw Ave, TRANMERE",,138.66634,-34.91318
Heysen,Aldgate,A,,ALDGATE,Aldgate Primary School,"3 Fairview Rd, ALDGATE",,138.75,-35.0191
Heysen,Ashbourne,N,,ASHBOURNE,Ashbourne War Memorial Hall,"1293 Bull Creek Rd, ASHBOURNE",,138.769448,-35.285233
Heysen,Bradbury,N,,BRADBURY,Longwood Institute,"706 Longwood Rd, BRADBURY",,138.72166,-35.05708
Heysen,Bridgewater,F,via Lezayre Ave,BRIDGEWATER,Bridgewater Primary School,"46 Morella Gr, BRIDGEWATER",,138.76143,-35.00428
Heysen,Cherry Gardens,A,,CHERRY GARDENS,Cherry Gardens Memorial Hall,"312 Cherry Gardens Rd, CHERRY GARDENS",,138.65358,-35.0635
Heysen,Clarendon,A,,CLARENDON,Clarendon Primary School,"249 Potter Rd, CLARENDON",,138.6324776,-35.11023742
Heysen,Crafers,A,,CRAFERS,Crafers Primary School,"55 Piccadilly Rd, CRAFERS",,138.71278,-34.99365
Heysen,Echunga,F,,ECHUNGA,Echunga Primary School,"802 Echunga Rd, ECHUNGA",,138.791539,-35.097293
Heysen,Hahndorf,A,,HAHNDORF,St Paul's Lutheran Church Hall,"10 Mount Barker Rd, HAHNDORF",,138.8140617,-35.0338468
Heysen,Kangarilla,A,,KANGARILLA,Kangarilla Primary School,"33-35 McLaren Flat Rd, KANGARILLA",,138.659525,-35.148405
Heysen,Macclesfield,A,,MACCLESFIELD,Macclesfield Primary School,"1/5 Luck St, MACCLESFIELD",,138.8388789,-35.17101506
Heysen,Meadows,A,,MEADOWS,Meadows Primary School,"77 Mawson Rd, MEADOWS",,138.762168,-35.18073
Heysen,Montacute,N,,MONTACUTE,Montacute Institute,"63 Institute Rd, MONTACUTE",,138.746289,-34.891459
Heysen,Mylor,F,,MYLOR,Mylor Primary School,"220 Strathalbyn Rd, MYLOR",,138.760299,-35.040914
Heysen,Norton Summit,A,,NORTON SUMMIT,Norton Summit Primary School,"15 Crescent Dr, NORTON SUMMIT",,138.728575,-34.927138
Heysen,Oakbank,A,,OAKBANK,Oakbank Area School Hall ,"154 Onkaparinga Valley Rd, OAKBANK",,138.835737,-34.988768
Heysen,Piccadilly,N,,PICCADILLY,Piccadilly Community Hall,"171 Piccadilly Rd, PICCADILLY",,138.726,-34.9822
Heysen,Prospect Hill,A,,PROSPECT HILL,Prospect Hill War Memorial Hall,"397 Harvey Rd, PROSPECT HILL",,138.733669,-35.224201
Heysen,Stirling,A,,STIRLING,Stirling RSL Hall,"5 Merrion Tce, STIRLING",,138.7179461,-35.00426057
Heysen,Stirling East,A,via Paratoo Rd,STIRLING,Stirling East Primary School,"51 Braeside Rd, STIRLING",,138.735,-35.0029
Heysen,Summertown,F,,SUMMERTOWN,Summertown Uniting Church Hall,"5a Bonython Rd, SUMMERTOWN",,138.72805,-34.95898
Heysen,Upper Sturt,A,via Fernwood Way,UPPER STURT,Upper Sturt Primary School,"118 Upper Sturt Rd, UPPER STURT",,138.68462,-35.01891
Heysen,Uraidla,F,,URAIDLA,Uraidla Primary School,"17 Kidney St, URAIDLA",,138.744127,-34.959405
Heysen,Yundi,A,,YUNDI,Yundi War Memorial Hall,"482 Yundi Rd, YUNDI",,138.632956,-35.317572
Hurtle Vale,Hackham,A,Penney Space,HACKHAM,Hackham East Primary School,"72 Collins Pde, HACKHAM",,138.534,-35.1394
Hurtle Vale,Hackham West,F,,HACKHAM WEST,Hackham West R-7 School,"50 Glynville Dr, HACKHAM WEST",,138.516767,-35.143426
Hurtle Vale,Happy Valley,A,,HAPPY VALLEY,Happy Valley Primary School,"18 Education Rd, HAPPY VALLEY",,138.584,-35.0868
Hurtle Vale,Happy Valley West,F,,HAPPY VALLEY,Braeview School R-7,"1a Montana Dr, HAPPY VALLEY",,138.554,-35.0803
Hurtle Vale,Huntfield Heights,A,,HUNTFIELD HEIGHTS,Huntfield Heights Primary School,"78 Melsetter Rd, HUNTFIELD HEIGHTS",,138.516542,-35.153182
Hurtle Vale,Morphett Vale East,F,Mark Porter Hall,MORPHETT VALE,Woodcroft College,"143 - 173 Bains Rd, MORPHETT VALE",,138.544,-35.1143
Hurtle Vale,Morphett Vale South,A,,MORPHETT VALE,Coorara Primary School,"Taylors Ave, MORPHETT VALE",,138.541285,-35.130778
Hurtle Vale,Reynella East,F,via Gates 3-5,REYNELLA EAST,Reynella East College,"63 Malbeck Dr, REYNELLA EAST",,138.55491,-35.09086
Hurtle Vale,Woodcroft,A,,WOODCROFT,Woodcroft Primary School Gym,"1-23 Investigator Dr, WOODCROFT",,138.55622,-35.10601
Kaurna,Christie Downs,A,,CHRISTIE DOWNS,Christie Downs Primary School,"33 Elizabeth Rd, CHRISTIE DOWNS",,138.492677,-35.132632
Kaurna,Christie Downs East,F,,CHRISTIE DOWNS,Elizabeth House Positive Ageing Centre,"112 Elizabeth Rd, CHRISTIE DOWNS",,138.50298,-35.1344
Kaurna,Christies Beach,F,via Price St,CHRISTIES BEACH,Christies Beach Primary School,"46 Maturin Ave, CHRISTIES BEACH",,138.478939,-35.13752
Kaurna,Maslin Beach,A,,MASLIN BEACH,Maslin Beach Community Hall,"5 Parkway Dr, MASLIN BEACH",,138.478734,-35.224469
Kaurna,McLaren Vale,A,,MCLAREN VALE,McLaren Vale Primary School,"239-253 Caffrey St, MCLAREN VALE",,138.5306818,-35.2119088
Kaurna,Noarlunga Downs,F,,NOARLUNGA DOWNS,Noarlunga Downs P-7 School,"Canterbury Cres, NOARLUNGA DOWNS",,138.496,-35.1504
Kaurna,Old Noarlunga,F,,OLD NOARLUNGA,Old Noarlunga Institute,"Patapinda Rd, OLD NOARLUNGA",,138.5026689,-35.18092931
Kaurna,Port Noarlunga,F,wheelchair parking via Ralphs Ave,PORT NOARLUNGA,Port Noarlunga Primary School ,"53 Anderson Ave, PORT NOARLUNGA",,138.4734998,-35.14476898
Kaurna,Port Noarlunga South,F,,PORT NOARLUNGA SOUTH,South Port Primary School,"39 Jane St, PORT NOARLUNGA SOUTH",,138.473068,-35.175854
Kaurna,Seaford,F,via Beechwood Gr,SEAFORD,Moana Primary School,"52 Schooner Rd, SEAFORD",,138.47449,-35.19206
Kaurna,Seaford East,F,,SEAFORD,All Saints Catholic Primary School,"621-631 Grand Blvd, SEAFORD",,138.48051,-35.185625
Kaurna,Seaford Rise,F,via Barbados Dr,SEAFORD RISE,Seaford Rise Primary School,"184-202 Grand Blvd, SEAFORD RISE",,138.48743,-35.20019
Kavel,Brukunga,A,,BRUKUNGA,Brukunga Hall,"12 Pyrites Rd, BRUKUNGA",,138.942102,-35.002414
Kavel,Charleston,A,,CHARLESTON,Charleston Memorial Hall,"1 Newman Rd, CHARLESTON",,138.902162,-34.916055
Kavel,Lenswood,F,,LENSWOOD,Lenswood Primary School Gym,"1554 Lobethal Rd, LENSWOOD",,138.82437,-34.921722
Kavel,Littlehampton,A,Wheelchair access via William St,LITTLEHAMPTON,Littlehampton Primary School Gym,"16-30 Baker St, LITTLEHAMPTON",,138.867323,-35.049488
Kavel,Lobethal,A,,LOBETHAL,Lobethal Primary School Gym,"1 School Rd, LOBETHAL",,138.8719715,-34.90139879
Kavel,Mount Barker,A,,MOUNT BARKER,Mount Barker High School Gym,"2 Wellington Rd, MOUNT BARKER",,138.857119,-35.075401
Kavel,Mount Barker Central,F,,MT BARKER,St Marks Lutheran School Library,"27 Hampden Rd, MT BARKER",,138.8608926,-35.07254512
Kavel,Mount Barker South,A,,MOUNT BARKER,Mount Barker South Primary School Gym,"33-45 Princes Rd, MOUNT BARKER",,138.859556,-35.080811
Kavel,Nairne,A,,NAIRNE,Nairne Primary School Gym,"5 Saleyard Rd, NAIRNE",,138.903,-35.0385
Kavel,Oakbank,A,,OAKBANK,Oakbank Area School Hall ,"154 Onkaparinga Valley Rd, OAKBANK",,138.835737,-34.988768
Kavel,Woodside,A,via William St,WOODSIDE,Woodside Primary School,"23 Moffett St, WOODSIDE",,138.879,-34.9527
King,Elizabeth East,F,,ELIZABETH EAST,Elizabeth East Primary School,"15 Dolphin St, ELIZABETH EAST",,138.678405,-34.725145
King,Elizabeth Vale,A,,ELIZABETH VALE,Elizabeth Vale School,"13-19 Rollison Rd, ELIZABETH VALE",,138.669,-34.7463
