has_bbq,lon,division,extra_info,polling_place_name,address,state,booth_info,premises,opening_hours,polling_place_type,lat,has_nothing,has_caek,has_run_out,has_other,source,stall_name,stall_description,stall_website,first_report,latest_report,ess_stall_id,ess_stall_url
TRUE,153.092203,"BULIMBA, CHATSWORTH",Full Wheelchair Access,Carina,"Carina State School, 1413 Creek Road (access via Cuthred Street), CARINA",QLD,,"Carina State School, 1413 Creek Road (access via Cuthred Street), CARINA",,,-27.485268,FALSE,TRUE,FALSE,{},,,,,2017-11-24 23:18:15.546582+00,2017-11-24 23:18:15.546582+00,,
TRUE,152.314981,"BUNDABERG, BURNETT",Assisted Wheelchair Access,Avoca,"Churches of Christ, 76 Twyford Street, AVOCA",QLD,,"Churches of Christ, 76 Twyford Street, AVOCA",,,-24.888649,FALSE,FALSE,FALSE,{},,,,,2017-11-24 23:19:27.821111+00,2017-11-24 23:19:27.821111+00,,
TRUE,146.809328,"BURDEKIN, MUNDINGBURRA, TOWNSVILLE",Assisted Wheelchair Access,Oonoonba,"Oonoonba State School, 83 Fairfield Waters Drive, OONOONBA",QLD,,"Oonoonba State School, 83 Fairfield Waters Drive, OONOONBA",,,-19.291779,FALSE,FALSE,FALSE,{},,,,,2017-11-24 23:19:42.700665+00,2017-11-24 23:19:42.700665+00,,
TRUE,146.8124,"BURDEKIN, MUNDINGBURRA",Full Wheelchair Access,Wulguru,"Wulguru State School, Edison Street, WULGURU",QLD,,"Wulguru State School, Edison Street, WULGURU",,,-19.326275,FALSE,TRUE,FALSE,{},Twitter,,,,2017-11-24 22:44:46.255234+00,2017-11-24 23:20:43.150775+00,,
TRUE,153.230347,"CAPALABA, OODGEROO",Assisted Wheelchair Access,Wellington Point High,"Wellington Point State High School, Anson Road, WELLINGTON POINT",QLD,,"Wellington Point State High School, Anson Road, WELLINGTON POINT",,,-27.490984,FALSE,TRUE,FALSE,{},,,,,2017-11-24 23:24:49.815887+00,2017-11-24 23:24:49.815887+00,,
TRUE,153.401364,"BONNEY, SOUTHPORT",Full Wheelchair Access,Southport North,"Southport State High School, Brooke Avenue, SOUTHPORT",QLD,,"Southport State High School, Brooke Avenue, SOUTHPORT",,,-27.984196,FALSE,FALSE,FALSE,{},,,,,2017-11-24 23:26:01.974569+00,2017-11-24 23:26:01.974569+00,,
TRUE,153.017811,"CLAYFIELD, STAFFORD",Assisted Wheelchair Access,Stafford,"Stafford State School, 314 Stafford Road, STAFFORD",QLD,,"Stafford State School, 314 Stafford Road, STAFFORD",,,-27.411914,FALSE,TRUE,FALSE,"{""has_coffee"":true,""has_bacon_and_eggs"":true}",Facebook,,,,2017-11-24 23:15:22.290102+00,2017-11-24 23:34:47.984164+00,,
TRUE,151.9499,"CONDAMINE, TOOWOOMBA SOUTH",Assisted Wheelchair Access,Glenvale,"Glenvale State School, 224 Glenvale Road, TOOWOOMBA",QLD,,"Glenvale State School, 224 Glenvale Road, TOOWOOMBA",,,-27.555916,FALSE,FALSE,FALSE,"{""has_bacon_and_eggs"":true}",,,,,2017-11-24 23:36:22.359629+00,2017-11-24 23:36:22.359629+00,,
TRUE,152.984948,"COOPER, FERNY GROVE",Full Wheelchair Access,Dorrington,"Oakleigh State School, Buxton Street, ASHGROVE",QLD,,"Oakleigh State School, Buxton Street, ASHGROVE",,,-27.435494,FALSE,TRUE,FALSE,"{""has_coffee"":true,""has_bacon_and_eggs"":true}",,,,,2017-11-24 23:38:44.549206+00,2017-11-24 23:38:44.549206+00,,
TRUE,152.998736,"COOPER, MAIWAR",,Milton,"Lavalla Centre, 58 Fernberg Road, PADDINGTON",QLD,,"Lavalla Centre, 58 Fernberg Road, PADDINGTON",,,-27.463808,FALSE,TRUE,FALSE,{},Twitter,,,,2017-11-24 22:54:37.245987+00,2017-11-24 23:39:18.762861+00,,
TRUE,152.968883,"EVERTON, FERNY GROVE",,Mitchelton South,"Mitchelton State School, 47 Glen Retreat Road, MITCHELTON",QLD,,"Mitchelton State School, 47 Glen Retreat Road, MITCHELTON",,,-27.412747,FALSE,TRUE,FALSE,{},,Mitchie Hall of Glorious Foodstuff,"Sausage, Bacon and egg roll, cupcakes, drinks",,2017-11-24 23:44:03.444124+00,2017-11-24 23:47:19.636244+00,,
TRUE,152.947466,"GLASS HOUSE, NICKLIN",Full Wheelchair Access,Palmwoods,"Palmwoods State School, 111 Palmwoods-Montville Road, PALMWOODS",QLD,,"Palmwoods State School, 111 Palmwoods-Montville Road, PALMWOODS",,,-26.694412,FALSE,TRUE,FALSE,"{""has_bacon_and_eggs"":true}",,,,,2017-11-24 23:47:23.063864+00,2017-11-24 23:47:23.063864+00,,
TRUE,153.049644,GREENSLOPES,Full Wheelchair Access,Greenslopes,"Greenslopes Baptist Church Hall, cnr Dunellan and Henry Streets, GREENSLOPES",QLD,,"Greenslopes Baptist Church Hall, cnr Dunellan and Henry Streets, GREENSLOPES",,,-27.507508,FALSE,TRUE,FALSE,{},,,,,2017-11-24 23:47:54.331665+00,2017-11-24 23:47:54.331665+00,,
TRUE,152.824843,IPSWICH WEST,Full Wheelchair Access,Karalee,"Karalee State School Hall, 77 Arthur Summervilles Road, KARALEE",QLD,,"Karalee State School Hall, 77 Arthur Summervilles Road, KARALEE",,,-27.562578,FALSE,TRUE,FALSE,"{""has_coffee"":true}",,,,,2017-11-24 23:53:19.14767+00,2017-11-24 23:53:19.14767+00,,
TRUE,153.082703,"GREENSLOPES, MANSFIELD",Full Wheelchair Access,Mt Gravatt West,"Mt Gravatt Showground Industrial Shed, 1644 Logan Road, MOUNT GRAVATT",QLD,,"Mt Gravatt Showground Industrial Shed, 1644 Logan Road, MOUNT GRAVATT",,,-27.543775,FALSE,FALSE,FALSE,{},,Mens Shed,sausage and onion,,2017-11-24 23:55:11.747968+00,2017-11-24 23:55:11.747968+00,,
TRUE,150.506892,ROCKHAMPTON,Full Wheelchair Access,Park Avenue,"Park Avenue State School, Main Street, PARK AVENUE",QLD,,"Park Avenue State School, Main Street, PARK AVENUE",,,-23.360318,FALSE,FALSE,FALSE,"{""has_coffee"":true,""has_vego"":true,""has_bacon_and_eggs"":true}",,,"Come along and grab a sausage sizzle or bacon and egg burger with a cold drink. This year we have ""REAL COFFEE"" made by our barista!! So come in for your morning latte too.",,2017-11-24 23:36:55.68193+00,2017-11-25 01:03:09.353547+00,,
TRUE,152.863875,BUNDAMBA,Assisted Wheelchair Access,Collingwood Park,"Collingwood Park State School Hall, Burrel Street, COLLINGWOOD PARK",QLD,,"Collingwood Park State School Hall, Burrel Street, COLLINGWOOD PARK",,,-27.613565,FALSE,TRUE,FALSE,{},,,,,2017-11-24 23:40:49.918004+00,2017-11-25 01:12:32.558479+00,,
TRUE,153.11678,"CALOUNDRA, KAWANA",Full Wheelchair Access,Currimundi West,"Talara Primary College - Performance Centre, 24 Talara Street, CURRIMUNDI",QLD,,"Talara Primary College - Performance Centre, 24 Talara Street, CURRIMUNDI",,,-26.772393,FALSE,TRUE,FALSE,"{""has_bacon_and_eggs"":true}",,,,,2017-11-24 23:23:19.941243+00,2017-11-24 23:55:17.657983+00,,
TRUE,152.306402,BURNETT,Full Wheelchair Access,Gooburrum,"Gooburrum State School, 14 Gooburrum Road, GOOBURRUM",QLD,,"Gooburrum State School, 14 Gooburrum Road, GOOBURRUM",,,-24.823928,FALSE,FALSE,FALSE,{},,,,,2017-11-25 00:00:41.329889+00,2017-11-25 00:00:41.329889+00,,
TRUE,152.253982,BURNETT,Assisted Wheelchair Access,Moore Park,"Moore Park State School, 14 Murdochs Linking Road, MOORE PARK BEACH",QLD,,"Moore Park State School, 14 Murdochs Linking Road, MOORE PARK BEACH",,,-24.709105,FALSE,FALSE,FALSE,{},,,,,2017-11-25 00:00:50.738054+00,2017-11-25 00:00:50.738054+00,,
TRUE,152.965509,MAIWAR,Assisted Wheelchair Access,Fig Tree Pocket,"Fig Tree Pocket State School, Cubberla Street, FIG TREE POCKET",QLD,,"Fig Tree Pocket State School, Cubberla Street, FIG TREE POCKET",,,-27.526207,FALSE,FALSE,FALSE,"{""has_bacon_and_eggs"":true}",,,,,2017-11-25 00:01:25.806485+00,2017-11-25 00:01:25.806485+00,,
TRUE,152.96559,"MAIWAR, MOGGILL",Assisted Wheelchair Access,Indooroopilly West,"Indooroopilly State School, Russell Terrace (Cnr Moggill Road), INDOOROOPILLY",QLD,,"Indooroopilly State School, Russell Terrace (Cnr Moggill Road), INDOOROOPILLY",,,-27.499745,FALSE,TRUE,FALSE,"{""has_coffee"":true,""has_bacon_and_eggs"":true}",,,,,2017-11-25 00:02:10.469898+00,2017-11-25 00:02:10.469898+00,,
TRUE,153.12769,MANSFIELD,,MacKenzie,"Mackenzie State School, 950 Mt Gravatt-Capalaba Road (access via Vivaldi Pl), MACKENZIE",QLD,,"Mackenzie State School, 950 Mt Gravatt-Capalaba Road (access via Vivaldi Pl), MACKENZIE",,,-27.547054,FALSE,TRUE,FALSE,"{""has_coffee"":true}",,,,,2017-11-25 00:03:29.329978+00,2017-11-25 00:03:29.329978+00,,
TRUE,153.034973,"MILLER, SOUTH BRISBANE",Full Wheelchair Access,Annerley,"Junction Park State School Hall, 50 Waldheim Street, ANNERLEY",QLD,,"Junction Park State School Hall, 50 Waldheim Street, ANNERLEY",,,-27.509525,FALSE,TRUE,FALSE,{},,,,,2017-11-25 00:05:13.654445+00,2017-11-25 00:05:13.654445+00,,
TRUE,152.278136,LOCKYER,Full Wheelchair Access,Gatton South,"Lockyer District High School (Assembly Hall), William Street, GATTON",QLD,,"Lockyer District High School (Assembly Hall), William Street, GATTON",,,-27.568324,FALSE,TRUE,FALSE,{},,,Find a cake stall and sausage sizzle here on polling day,,2017-11-25 00:09:22.586224+00,2017-11-25 00:09:22.586224+00,,
