polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
East Devonport Primary School,146.372,,Assisted Disabled,East Devonport Primary School,,FALSE,19 Thomas St TAS 7310,,TAS,-41.1779,FALSE,FALSE,,,,,,,,,
Sandford Hall,147.495,,Standard,Sandford Hall,,FALSE,973 South Arm Rd TAS 7020,,TAS,-42.9402,FALSE,FALSE,,,,,,,,,
Irishtown Lodge Arthur Temple,145.145,,Standard,Irishtown Lodge Arthur Temple,,FALSE,604 Irishtown Rd TAS 7330,,TAS,-40.9133,FALSE,FALSE,,,,,,,,,
Judbury Hall,146.9283,,Assisted Disabled,Judbury Hall,,FALSE,1273 Glen Huon Rd TAS 7109,,TAS,-42.9982,FALSE,FALSE,,,,,,,,,
Karoola Hall,147.148,,Assisted Disabled,Karoola Hall,,FALSE,1126 Pipers River Rd TAS 7267,,TAS,-41.2539,FALSE,FALSE,,,,,,,,,
Kelso Community Centre,146.794,,Standard,Kelso Community Centre,,FALSE,Foreshore Rd TAS 7270,,TAS,-41.1037,FALSE,FALSE,,,,,,,,,
Kempton Council Chambers,147.2,,Assisted Disabled,Kempton Council Chambers,,FALSE,Main St TAS 7030,,TAS,-42.5313,FALSE,FALSE,,,,,,,,,
Kettering Community Centre,147.247,,Assisted Disabled,Kettering Community Centre,,FALSE,2963 Channel Hwy TAS 7050,,TAS,-43.1257,FALSE,FALSE,,,,,,,,,
Y.M.C.A. Centre,147.16,,Assisted Disabled,Y.M.C.A. Centre,,FALSE,8A Blaydon St TAS 7249,,TAS,-41.4677,FALSE,FALSE,,,,,,,,,
Kingborough Council,147.311406,,Disabled,Kingborough Council,,FALSE,15 Channel Hwy TAS 7050,,TAS,-42.975321,FALSE,FALSE,,,,,,,,,
Southern Christian College,147.309,,Assisted Disabled,Southern Christian College,,TRUE,150 Redwood Rd TAS 7050,,TAS,-42.9896,FALSE,FALSE,,,,,,,,,
Kingston Beach Hall,147.3235074,,Assisted Disabled,Kingston Beach Hall,,FALSE,Beach Rd TAS 7050,,TAS,-42.9815337,FALSE,FALSE,,,,,,,,,
Myrtle Park Hall,147.367,,Assisted Disabled,Myrtle Park Hall,,FALSE,38250 Tasman Hwy TAS 7259,,TAS,-41.3107,FALSE,FALSE,,,,,,,,,
Tasman Peninsula Community Centre,147.868,,Assisted Disabled,Tasman Peninsula Community Centre,,FALSE,Gourlay Rd TAS 7180,,TAS,-43.0371,FALSE,FALSE,,,,,,,,,
Edith Creek Primary School,145.092,,Assisted Disabled,Edith Creek Primary School,,FALSE,1282 Trowutta Rd TAS 7330,,TAS,-40.9705,FALSE,FALSE,,,,,,,,,
Glengarry Fire Station,146.871,,Assisted Disabled,Glengarry Fire Station,,FALSE,Frankford Rd TAS 7275,,TAS,-41.3383,FALSE,FALSE,,,,,,,,,
TasTafe,146.345,,Assisted Disabled,TasTafe,,FALSE,20-36 Valley Rd TAS 7310,,TAS,-41.1864,FALSE,FALSE,,,,,,,,,
Reece High School,146.349,,Assisted Disabled,Reece High School,,FALSE,41-43 Middle Rd TAS 7310,,TAS,-41.1893,FALSE,FALSE,,,,,,,,,
St Johns Parish Hall,146.358,,Assisted Disabled,St Johns Parish Hall,,FALSE,Fenton St TAS 7310,,TAS,-41.1789,FALSE,FALSE,,,,,,,,,
Addison Street Scout Hall,146.344,,Assisted Disabled,Addison Street Scout Hall,,FALSE,11 Addison St TAS 7310,,TAS,-41.1737,FALSE,FALSE,,,,,,,,,
Nixon Street Primary School,146.337,,Assisted Disabled,Nixon Street Primary School,,FALSE,Nixon St TAS 7310,,TAS,-41.1728,FALSE,FALSE,,,,,,,,,
Mersey Bluff Church of Christ,146.354,,Assisted Disabled,Mersey Bluff Church of Christ,,FALSE,232 William St TAS 7310,,TAS,-41.1667,FALSE,FALSE,,,,,,,,,
Deloraine High School Hall,146.66111,,Assisted Disabled,Deloraine High School Hall,,FALSE,East Barrack St TAS 7304,,TAS,-41.52917,FALSE,FALSE,,,,,,,,,
Tullah Fire Station,145.614,,Assisted Disabled,Tullah Fire Station,,FALSE,Farrell St TAS 7321,,TAS,-41.7376,FALSE,FALSE,,,,,,,,,
Moonah Primary School,147.296,,Assisted Disabled,Moonah Primary School,,TRUE,42 Derwent Park Rd TAS 7009,,TAS,-42.838,FALSE,TRUE,,,,,,,,,
Derby Town Hall,147.80236,,Standard,Derby Town Hall,,FALSE,Cnr Main & Krushka St TAS 7264,,TAS,-41.14933,FALSE,FALSE,,,,,,,,,
Dover District High School,147.013,,Assisted Disabled,Dover District High School,,FALSE,6940 Huon Hwy TAS 7117,,TAS,-43.3105,FALSE,FALSE,,,,,,,,,
Winnaleah Memorial Hall,147.824,,Standard,Winnaleah Memorial Hall,,FALSE,20 Main St TAS 7265,,TAS,-41.0979,FALSE,FALSE,,,,,,,,,
Wivenhoe Campus Leighland Christian School,145.93609,,Assisted Disabled,Wivenhoe Campus Leighland Christian School,,FALSE,Stowport Rd TAS 7320,,TAS,-41.06904,FALSE,FALSE,,,,,,,,,
Whitemore Historical Group Rooms (Old School),146.931,,Standard,Whitemore Historical Group Rooms (Old School),,FALSE,769 Whitemore Rd TAS 7303,,TAS,-41.5825,FALSE,FALSE,,,,,,,,,
Wilmot Primary School,146.1732064,,Assisted Disabled,Wilmot Primary School,,FALSE,Main Rd (Wilmot Road) TAS 7310,,TAS,-41.3855154,FALSE,FALSE,,,,,,,,,
Whitemark Lions Club,148.019,,Assisted Disabled,Whitemark Lions Club,,FALSE,James St TAS 7255,,TAS,-40.1214,FALSE,FALSE,,,,,,,,,
Westbury Town Hall,146.83,,Assisted Disabled,Westbury Town Hall,,FALSE,26 Lyall St TAS 7303,,TAS,-41.528,FALSE,FALSE,,,,,,,,,
Westerway Primary School,146.787,,Assisted Disabled,Westerway Primary School,,FALSE,1619 Gordon River Rd TAS 7140,,TAS,-42.6775,FALSE,FALSE,,,,,,,,,
West Launceston Primary School,147.129,,Assisted Disabled,West Launceston Primary School,,FALSE,24 Basin Rd TAS 7250,,TAS,-41.4492,FALSE,FALSE,,,,,,,,,
West Ulverstone Primary School,146.16,,Assisted Disabled,West Ulverstone Primary School,,FALSE,34 Maud St TAS 7315,,TAS,-41.1482,FALSE,FALSE,,,,,,,,,
Port Sorell Memorial Hall,146.556,,Assisted Disabled,Port Sorell Memorial Hall,,FALSE,Cnr Meredith & Darling St TAS 7307,,TAS,-41.1657,FALSE,FALSE,,,,,,,,,
Port Arthur Sports Ground,147.845,,Assisted Disabled,Port Arthur Sports Ground,,FALSE,2745 Nubeena Rd TAS 7182,,TAS,-43.142,FALSE,FALSE,,,,,,,,,
Pontville Old Council Chambers,147.266,,Assisted Disabled,Pontville Old Council Chambers,,FALSE,262 Midland Hwy TAS 7030,,TAS,-42.6836,FALSE,FALSE,,,,,,,,,
Port Huon Sports & Aquatic Centre,146.9637994,,Assisted Disabled,Port Huon Sports & Aquatic Centre,,FALSE,Huon Hwy TAS 7116,,TAS,-43.1553225,FALSE,FALSE,,,,,,,,,
Penguin Uniting Church Hall,146.071,,Assisted Disabled,Penguin Uniting Church Hall,,FALSE,50 Main Rd TAS 7316,,TAS,-41.112,FALSE,FALSE,,,,,,,,,
Parattah Jubilee Hall,147.407,,Assisted Disabled,Parattah Jubilee Hall,,FALSE,657 Tunnack Rd TAS 7120,,TAS,-42.3503,FALSE,FALSE,,,,,,,,,
Pipers River Fire Station,147.091,,Standard,Pipers River Fire Station,,FALSE,76 School Rd TAS 7252,,TAS,-41.1006,FALSE,FALSE,,,,,,,,,
Perth Community Centre,147.173,,Assisted Disabled,Perth Community Centre,,FALSE,173 Fairtlough St TAS 7300,,TAS,-41.5725,FALSE,FALSE,,,,,,,,,
Old Beach Fire Station,147.26576,,Standard,Old Beach Fire Station,,FALSE,Jetty Rd TAS 7017,,TAS,-42.77427,FALSE,FALSE,,,,,,,,,
"Oatlands Council Chambers, Court Room",147.372,,Assisted Disabled,"Oatlands Council Chambers, Court Room",,FALSE,71 High St TAS 7120,,TAS,-42.3,FALSE,FALSE,,,,,,,,,
Ouse Online Centre,146.669,,Assisted Disabled,Ouse Online Centre,,FALSE,6947 Lyell Hwy TAS 7140,,TAS,-42.4464,FALSE,FALSE,,,,,,,,,
Orford Community Hall,147.874,,Assisted Disabled,Orford Community Hall,,FALSE,Charles St TAS 7190,,TAS,-42.5629,FALSE,FALSE,,,,,,,,,
Howrah Scout Hall,147.404,,Assisted Disabled,Howrah Scout Hall,,FALSE,"Howrah Primary School, Howrah Rd TAS 7018",,TAS,-42.8819,FALSE,FALSE,,,,,,,,,
Cosgrove Park Bowls Club,147.148229,,Assisted Disabled,Cosgrove Park Bowls Club,,FALSE,25 Waveney St TAS 7249,,TAS,-41.461287,FALSE,FALSE,,,,,,,,,
Queenstown Memorial Hall,145.558,,Standard,Queenstown Memorial Hall,,FALSE,53 Orr St TAS 7467,,TAS,-42.0802,TRUE,FALSE,,,,,,,,,
Sprent Primary School,146.16,,Assisted Disabled,Sprent Primary School,,FALSE,1245 Castra Rd TAS 7315,,TAS,-41.2627,FALSE,FALSE,,,,,,,,,
Pyengana War Memorial Hall,148.001,,Assisted Disabled,Pyengana War Memorial Hall,,FALSE,St Columba Falls Rd TAS 7216,,TAS,-41.2924,FALSE,FALSE,,,,,,,,,
Sandfly Hall,147.196,,Assisted Disabled,Sandfly Hall,,FALSE,811 Sandfly Rd TAS 7150,,TAS,-42.985,FALSE,FALSE,,,,,,,,,
Spreyton Primary School,146.34434,,Assisted Disabled,Spreyton Primary School,,FALSE,1 Mersey Main Rd TAS 7310,,TAS,-41.21207,FALSE,FALSE,,,,,,,,,
Bronte Park Highland Village,146.492,,Standard,Bronte Park Highland Village,,FALSE,378 Marlborough Rd TAS 7140,,TAS,-42.136,FALSE,FALSE,,,,,,,,,
Adventure Bay Hall,147.327957,,Standard,Adventure Bay Hall,,FALSE,706 Adventure Bay Rd TAS 7150,,TAS,-43.360818,FALSE,FALSE,,,,,,,,,
South Riana Public Hall,145.977,,Assisted Disabled,South Riana Public Hall,,FALSE,776 South Riana Rd TAS 7316,,TAS,-41.2345,FALSE,FALSE,,,,,,,,,
Avoca Primary School,147.726,,Standard,Avoca Primary School,,FALSE,26-30 St Pauls Pl TAS 7213,,TAS,-41.7817,FALSE,FALSE,,,,,,,,,
Glenora District High School,146.889,,Standard,Glenora District High School,,FALSE,620 Gordon River Rd TAS 7140,,TAS,-42.6969,FALSE,FALSE,,,,,,,,,
Southport Fire Station,146.9795856,,Assisted Disabled,Southport Fire Station,,FALSE,3 Cathkit St TAS 7109,,TAS,-43.4341277,FALSE,FALSE,,,,,,,,,
Woodbridge Hall,147.239,,Assisted Disabled,Woodbridge Hall,,FALSE,3445 Channel Hwy TAS 7162,,TAS,-43.1601,FALSE,FALSE,,,,,,,,,
Senior Citizens Club Rooms,145.729,,Assisted Disabled,Senior Citizens Club Rooms,,FALSE,28 Jackson St TAS 7325,,TAS,-40.9909,FALSE,FALSE,,,,,,,,,
Wynyard High School,145.717,,Assisted Disabled,Wynyard High School,,TRUE,30 Church St TAS 7325,,TAS,-40.9867,FALSE,FALSE,,,,,,,,,
Yolla District High School,145.719,,Assisted Disabled,Yolla District High School,,FALSE,School La TAS 7325,,TAS,-41.1237,FALSE,FALSE,,,,,,,,,
Youngtown Primary School,147.164,,Assisted Disabled,Youngtown Primary School,,FALSE,Napier St TAS 7249,,TAS,-41.4823,FALSE,FALSE,,,,,,,,,
Broadmarsh Hall,147.126,,Assisted Disabled,Broadmarsh Hall,,FALSE,1218 Elderslie Rd TAS 7030,,TAS,-42.6567,FALSE,FALSE,,,,,,,,,
Zeehan Primary School,145.34,,Assisted Disabled,Zeehan Primary School,,FALSE,7 Belstead St TAS 7469,,TAS,-41.888,FALSE,FALSE,,,,,,,,,
Somerset Primary School,145.836367,,Assisted Disabled,Somerset Primary School,,FALSE,8 Wragg Street TAS 7322,,TAS,-41.043137,FALSE,FALSE,,,,,,,,,
Snug Primary School,147.255,,Assisted Disabled,Snug Primary School,,FALSE,Channel Hwy TAS 7054,,TAS,-43.0664,FALSE,FALSE,,,,,,,,,
Blythe Heads Hall,145.986,,Assisted Disabled,Blythe Heads Hall,,FALSE,Sice Ave TAS 7316,,TAS,-41.0751,FALSE,FALSE,,,,,,,,,
Highclere Community Centre,145.806,,Standard,Highclere Community Centre,,FALSE,1558 Ridgley Hwy TAS 7321,,TAS,-41.1904,FALSE,FALSE,,,,,,,,,
Sisters Beach Fire Station,145.565,,Standard,Sisters Beach Fire Station,,FALSE,Honeysuckle Ave TAS 7321,,TAS,-40.9181,FALSE,FALSE,,,,,,,,,
Sidmouth Community Centre,146.887,,Assisted Disabled,Sidmouth Community Centre,,FALSE,255 Batman Hwy TAS 7270,,TAS,-41.2221,FALSE,FALSE,,,,,,,,,
Smithton Uniting Church Hall,145.127,,Standard,Smithton Uniting Church Hall,,FALSE,45 Goldie St TAS 7330,,TAS,-40.8427,FALSE,FALSE,,,,,,,,,
Sisters Creek Hall,145.586,,Assisted Disabled,Sisters Creek Hall,,FALSE,17894 Bass Hwy TAS 7321,,TAS,-40.9605,FALSE,FALSE,,,,,,,,,
Gretna (St Mary's Parish) Hall,146.923,,Standard,Gretna (St Mary's Parish) Hall,,FALSE,3548 Lyell Hwy TAS 7140,,TAS,-42.6444,FALSE,FALSE,,,,,,,,,
Gunns Plains Hall,146.039,,Assisted Disabled,Gunns Plains Hall,,FALSE,957 Gunns Plains Rd TAS 7315,,TAS,-41.2774,FALSE,FALSE,,,,,,,,,
Gravelly Beach Main Hall,146.973,,Assisted Disabled,Gravelly Beach Main Hall,,FALSE,Edinburgh Park Off Gravelly Beach Rd TAS 7276,,TAS,-41.2939,FALSE,FALSE,,,,,,,,,
Hamilton Hall,146.83,,Assisted Disabled,Hamilton Hall,,FALSE,Tarleton St TAS 7140,,TAS,-42.5597,FALSE,FALSE,,,,,,,,,
Havenview Primary School,145.911,,Assisted Disabled,Havenview Primary School,,FALSE,15 Marriott St TAS 7320,,TAS,-41.0836,FALSE,FALSE,,,,,,,,,
Hadspen Uniting Church Centre,147.064,,Assisted Disabled,Hadspen Uniting Church Centre,,FALSE,47 Main St TAS 7290,,TAS,-41.5064,FALSE,FALSE,,,,,,,,,
Hagley Uniting Church Hall,146.887,,Standard,Hagley Uniting Church Hall,,FALSE,Meander Valley Rd TAS 7292,,TAS,-41.5267,FALSE,FALSE,,,,,,,,,
Windermere Primary School,147.259102,,Disabled,Windermere Primary School,,FALSE,2 Cadbury Rd TAS 7011,,TAS,-42.80013,FALSE,FALSE,,,,,,,,,
Austins Ferry Primary School,147.2405494,,Disabled,Austins Ferry Primary School,,FALSE,13 Brodie St TAS 7011,,TAS,-42.7861799,TRUE,FALSE,,,,,,,,,
Campbell Town Town Hall,147.495,,Assisted Disabled,Campbell Town Town Hall,,FALSE,75 High St(Midland Highway) TAS 7210,,TAS,-41.927,FALSE,FALSE,,,,,,,,,
Campania Hall,147.422,,Assisted Disabled,Campania Hall,,FALSE,Reeve St TAS 7026,,TAS,-42.6672,FALSE,FALSE,,,,,,,,,
Taroona Primary School,147.3527368,,Assisted Disabled,Taroona Primary School,,FALSE,104 Channel Hwy TAS 7053,,TAS,-42.9433021,FALSE,FALSE,,,,,,,,,
Calder Hall,145.631,,Standard,Calder Hall,,FALSE,1320 Calder Rd TAS 7325,,TAS,-41.0685,FALSE,FALSE,,,,,,,,,
