source,lon,has_run_out,division,booth_info,premises,has_bbq,address,opening_hours,has_other,lat,state,polling_place_name,has_nothing,has_caek,polling_place_type,extra_info,stall_name,stall_description,stall_website,first_report,latest_report
http://www.electionsausagesizzle.com.au/nsw-election-2015/sausage-sizzle-map/142/Malvern-Hill-Uniting-Church-Malvern-Hill-Uniting-Church-Sausage-Sizzle/no,151.112469,FALSE,Strathfield,,Malvern Hill Uniting Church,TRUE,"Murray Street, Croydon, 2132",,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-33.884257,NSW,Malvern Hill Uniting,FALSE,FALSE,Church,Garage sale,,,,,
,151.095198,FALSE,Strathfield,,Harcourt Public School,FALSE,"First Avenue, Campsie, 2191",,0,-33.909066,NSW,Harcourt Public,FALSE,FALSE,Government School,,,,,,
Twitter,151.084999,FALSE,Strathfield,,Homebush Public School,TRUE,"Rochester Street, Homebush, 2140",,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-33.867289,NSW,Homebush Public,FALSE,FALSE,Government School,,,,,,
http://www.electionsausagesizzle.com.au/nsw-election-2015/sausage-sizzle-map/69/Enfield-Public-School-Enfield-Public-School-Sausage-Sizzle/no,151.094112,FALSE,Strathfield,,Enfield Public School,TRUE,"Beaumaris Street, Enfield, 2136",,"{""coffee"":true,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""Drinks""}",-33.888387,NSW,Enfield Public,FALSE,FALSE,Government School,,,,,,
,151.090943,FALSE,Strathfield,,2nd Enfield Scout Hall,FALSE,"357 Georges River Road, Croydon Park, 2133",,0,-33.899404,NSW,Enfield Scout Hall,FALSE,FALSE,Hall,,,,,,
http://pandc.org.au/?ai1ec=action~oneday|exact_date~28-3-2015,151.108873,FALSE,Strathfield,,Croydon Park Public School,TRUE,"Beresford Avenue, Croydon Park, 2133",,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-33.894333,NSW,Croydon Park Public,FALSE,TRUE,Government School,,,,,,
,151.117891,FALSE,Strathfield,,KU Croydon Pre-School,FALSE,"6 Railway Street, Croydon, 2131",,0,-33.883631,NSW,Croydon Pre-Sch.,FALSE,FALSE,Kindergarten,,,,,,
,151.087891,FALSE,Strathfield,,Concord West Public School,TRUE,"Queen Street, Concord West, 2138",,"{""coffee"":true,""vego_sausages"":true,""halal"":true,""bacon_egg"":true,""other"":""""}",-33.839807,NSW,Concord W Public,FALSE,TRUE,Government School,,,,,,
,151.089143,FALSE,Strathfield,,Concord West Uniting Church,FALSE,"Wunda Road, Concord West, 2138",,0,-33.845395,NSW,Concord W Uniting,FALSE,FALSE,Church,,,,,,
,150.912083,FALSE,Blacktown,,Blacktown Boys High School,FALSE,"Fifth Avenue, Blacktown, 2148",,0,-33.761698,NSW,Blacktown Boys High,FALSE,FALSE,Government School,,,,,,
