polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
Roleystone,116.0692865,Canning,"1  Entrance to polling place through off Wygonda Road. 2  Disabled access to Polling place is halfway down driveway on western side of building, through glass doors.",Roleystone Hall,,FALSE,Cnr Jarrah and Wygonda Rds,,WA,-32.1124819,FALSE,FALSE,Assisted,,,,,,,,
Preston Beach,115.6571185,Canning,From Parking bays along pathway to hall entrance,Preston Beach Community Centre,,FALSE,Panorama Dr,,WA,-32.8804275,FALSE,FALSE,None,,,,,,,,
Pinjarra,115.873,Canning,1 Entrance through drive way to Staff Carpark on McLarty Road 2 From general public carparking off Camp Road.,Pinjarra Senior High School,,FALSE,McLarty Rd,,WA,-32.6334,FALSE,FALSE,Assisted,,,,,,,,
Perth (Canning),115.8612921,Canning,,City of Perth Council House,,FALSE,St Georges Tce,,WA,-31.9564376,FALSE,FALSE,Assisted,,,,,,,,
Perth (Stirling),115.8612921,Stirling,,City of Perth Council House,,FALSE,St Georges Tce,,WA,-31.9564376,FALSE,FALSE,Assisted,,,,,,,,
Yunderup,115.79,Canning,Entrance from Carpark to entrance,South Yunderup-Ravenswood Volunteer Bush Fire Brigade Station,,FALSE,Yunderup Rd,,WA,-32.5836,FALSE,FALSE,Assisted,,,,,,,,
Westfield South,115.999,Canning,Entrance through main gate to Carpark.,Grovelands Primary School,,FALSE,Grovelands Dr,,WA,-32.1197,FALSE,FALSE,None,,,,,,,,
Baldivis North,115.8177282,Brand,Fifty Rd,Baldivis Primary School,,TRUE,214 Fifty Rd,,WA,-32.3078662,FALSE,FALSE,Assisted,,,,,,,,
Baldivis East,115.8174955,Brand,Gate access from Staff Carpark on Makybe Dr and Portman Pde,Makybe Rise Primary School,,TRUE,Makybe Dr,,WA,-32.345111,FALSE,FALSE,Assisted,,,,,,,,
Cannington,115.943,Swan,To polling booth: Through main door To school: From Sevenoaks St main gate,Sevenoaks Senior College,,FALSE,Sevenoaks St,,WA,-32.0134,FALSE,FALSE,Full,,,,,,,,
Bentley West,115.902,Swan,Main gate on Hillview Place; no other gates open.,South Bentley Community Centre,,FALSE,Hillview Pl,,WA,-32.0097,TRUE,FALSE,None,,,,,,,,
Bentley South,115.9096455,Swan,To polling booth: Via main foyer entry,Bentley Community Centre,,FALSE,Via Nyamup Way,,WA,-32.0101634,TRUE,FALSE,Assisted,,,,,,,,
Bentley Park,115.902,Swan,"To polling booth: Auto door in Admin Building, thru foyer to Auditorium To grounds: Off Jarrah Rd to Plantation Dr",Swan Care Group,,FALSE,Plantation Dr,,WA,-32.0033,FALSE,FALSE,Full,,,,,,,,
Bentley,115.916031,Swan,Entrance off carpark on Chapman Rd & Pusey St,Bentley Baptist Church,,FALSE,59 Chapman Rd,,WA,-32.008019,TRUE,FALSE,Assisted,,,,,,,,
Belmont,115.923,Swan,Entrance to polling place: through side entrance. Entrance to school grounds: through gate on Lapage St. Other gates will be locked,Belmont Primary School,,FALSE,Gt Eastern Hwy,,WA,-31.9443,FALSE,FALSE,Assisted,,,,,,,,
Huntingdale,115.973,Hasluck,Enter from Matilda Street.,Huntingdale Primary School,,TRUE,Matilda St,,WA,-32.0766,FALSE,FALSE,Assisted,,,,,,,,
Beckenham,115.962,Swan,Gate on Saturn St or via carpark by main door to hall. Gate on Sydenham st.,Beckenham Community Church Hall,,FALSE,Sydenham St,,WA,-32.0263,TRUE,FALSE,Assisted,,,,,,,,
Yokine North,115.846,Stirling,Corner Golf View and Lockwood Streets.,Vedanta Church of Universal Religion,,FALSE,Golf View St,,WA,-31.8972,FALSE,FALSE,Assisted,,,,,,,,
Yokine,115.859,Stirling,Access through gate at rear of carpark. Entrance from Woodrow Avenue.,Yokine Primary School,,TRUE,Woodrow Ave,,WA,-31.9007,FALSE,FALSE,None,,,,,,,,
Queens Park,115.938971,Swan,"Off Treasure Road, through main gate to Fr Peter O'Reilly centre or from staff carpark round back; entrance on Treasure Road.",St Norbert College,,FALSE,Treasure Road,,WA,-32.0042896,FALSE,FALSE,Assisted,,,,,,,,
Redcliffe,115.945338,Swan,Path to library off Kanowna Ave.,Redcliffe Primary School,,FALSE,Kanowna Ave,,WA,-31.9350939,FALSE,FALSE,Assisted,,,,,,,,
Parkwood (Swan),115.9133849,Swan,"Access from Zelkova Way, Poseidon Way & Metcalfe Rd",Parkwood Primary School,,FALSE,Zelkova Way,,WA,-32.0425879,FALSE,FALSE,Assisted,,,,,,,,
Perth (Swan),115.8612921,Swan,,City of Perth Council House,,FALSE,St Georges Tce,,WA,-31.9564376,FALSE,FALSE,Assisted,,,,,,,,
South Perth,115.8597381,Swan,To polling booth: Main door to Hall To grounds: Small gate On cnr of Angelo and Forrest sts; larger gate off Forrest st & steps off Angelo st.,South Perth Primary School,,FALSE,Forrest St,,WA,-31.9813194,FALSE,FALSE,None,,,,,,,,
South Perth Central,115.867435,Swan,Entrance directly onto Sandgate Street.,South Perth Rotary Hall,,FALSE,Sandgate St,,WA,-31.9863096,FALSE,FALSE,None,,,,,,,,
Rivervale,115.906,Swan,From Gladstone Rd only,St Augustines Primary School,,FALSE,Gladstone Rd,,WA,-31.9595,FALSE,FALSE,Assisted,,,,,,,,
Rivervale North,115.92,Swan,"To polling booth: Through grounds to Classroom 9. To grounds: Main and side gate on Acton Ave, all other gates will be locked.",Tranby Primary School,,FALSE,Acton Ave,,WA,-31.9588,FALSE,FALSE,Assisted,,,,,,,,
South Perth North,115.8676512,Swan,Entrance off Angelo Street,South Perth Uniting Church,,TRUE,Cnr Sandgate & Angelo St,,WA,-31.9815849,FALSE,TRUE,None,,,,,,,,
Terminal 1 Perth Airport,115.975,Swan,Ground floor between Departures and Arrivals areas.,Terminal 1 Perth Airport,,FALSE,Horrie Miller Dr,,WA,-31.9415,FALSE,FALSE,Full,,,,,,,,
Gidgegannup,116.2017289,Pearce,Carparking on either side of hall within  Show Grounds,Gidgegannup Hall,,FALSE,cnr Toodyay & Old Toodyay Rds,,WA,-31.7911423,FALSE,FALSE,Assisted,,,,,,,,
Gingin,115.9047277,Pearce,Entrance off Weld St,Granville Civic Centre,,FALSE,Weld St,,WA,-31.3478507,FALSE,FALSE,Assisted,,,,,,,,
Ellenbrook North,115.964,Pearce,Enter from Brookmount Drive.,Arbor Grove Primary School,,TRUE,Brookmount Dr,,WA,-31.7691,FALSE,FALSE,Assisted,,,,,,,,
Ellenbrook West,115.964287,Pearce,Parking and entrance from School Lane.,Ellenbrook Secondary College,,FALSE,100 Main St,,WA,-31.785552,FALSE,FALSE,Assisted,,,,,,,,
Greenhills,116.9389918,Pearce,Entrance from Greenhills Rd,Greenhills Hall,,FALSE,Greenhills Rd,,WA,-31.9286821,FALSE,FALSE,Assisted,,,,,,,,
Greenmount,116.046,Pearce,Entrance from main carpark in Innaminka Rd,Greenmount Primary School,,TRUE,Innamincka Rd,,WA,-31.8975,FALSE,TRUE,Assisted,,,,,,,,
Glen Forrest,116.1004497,Pearce,Gates off Tillbrook St,Glen Forrest Primary School,,FALSE,Tillbrook St,,WA,-31.915031,FALSE,FALSE,None,,,,,,,,
Grass Valley,116.796,Pearce,Entrance from Wilson St,Grass Valley Hall,,FALSE,cnr Wilson & George Sts,,WA,-31.6368,FALSE,FALSE,None,,,,,,,,
Greenfields (Brand),115.7619176,Brand,Entrance to polling place: Carpark off Murdoch Dr,Eastlake Church,,FALSE,Lakes Rd,,WA,-32.5309974,FALSE,FALSE,Full,,,,,,,,
Guilderton,115.504,Pearce,Entrance from Wedge St,Guilderton Hall,,FALSE,cnr Wedge St & Hall Rd,,WA,-31.3489,FALSE,FALSE,Assisted,,,,,,,,
Helena Valley (Pearce),116.048,Pearce,Entrance from Helena Valley Road,Helena Valley Primary School,,FALSE,Helena Valley Rd,,WA,-31.9241,FALSE,FALSE,Assisted,,,,,,,,
King River,117.901,O'Connor,entrance to hall,King River Hall,,FALSE,Millbrook Rd,,WA,-34.9343,FALSE,FALSE,Full,,,,,,,,
North Dandalup,115.972,Canning,"Entrance through Main Doors of Hall, fro m carpark of South west hwy",North Dandalup Community Hall,,FALSE,South West Hwy,,WA,-32.5183,FALSE,FALSE,Assisted,,,,,,,,
Dianella Central,115.8746276,Perth,Follow path to entry,Dianella Community Centre,,FALSE,Kerry St,,WA,-31.8970263,FALSE,FALSE,Assisted,,,,,,,,
Cottesloe North,115.765,Curtin,Entrance off Eric Street car park.,North Cottesloe Primary School,,TRUE,Eric St,,WA,-31.9896,FALSE,TRUE,Assisted,,,,,,,,
Cottesloe South,115.761,Curtin,Gate on Johnston St,Cottesloe Primary School,,FALSE,Johnston St,,WA,-32.0019,FALSE,FALSE,Assisted,,,,,,,,
Doubleview (Curtin),115.779069,Curtin,Flamborough St,Doubleview Primary School,,FALSE,St Brigid's Tce,,WA,-31.897062,FALSE,FALSE,Assisted,,,,,,,,
Floreat,115.792,Curtin,Outdoor covered area via Chandler Ave W,Floreat Park Primary School,,FALSE,Chandler Ave West,,WA,-31.9369,FALSE,FALSE,Assisted,,,,,,,,
Floreat East,115.802,Curtin,Birkdale St,Floreat Park Pre-Primary Centre,,FALSE,cnr Birkdale & Newry Sts,,WA,-31.9392,FALSE,TRUE,Assisted,,,,,,,,
