state,lon,division,booth_info,premises,opening_hours,polling_place_type,has_bbq,has_other,source,lat,polling_place_name,has_nothing,has_caek,address,extra_info,has_run_out,stall_name,stall_description,stall_website,first_report,latest_report
QLD,153.401994,"Broadwater, Southport",,State School,,Government School,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",http://www.goldcoastbulletin.com.au/rolling-coverage-locals-have-started-voting-at-the-citys-polling-booths-for-the-qld-election/story-fnj94hf2-1227203016628,-27.942504,Labrador,TRUE,FALSE,"Imperial Parade, LABRADOR, 4215",,,,,,,
QLD,150.306578,Southern Downs,,St Mary's Primary School,,Private School,FALSE,,,-28.54471,Goondiwindi,FALSE,FALSE,"Brisbane Street, GOONDIWINDI, 4390",,,,,,,
QLD,153.353849,Mudgeeraba,,State School,,Government School,FALSE,,,-28.074148,Mudgeeraba School,FALSE,FALSE,"Old Coach Road, MUDGEERABA, 4213",,,,,,,
QLD,151.884388,Southern Downs,,State School,,Government School,FALSE,,,-28.524652,Pozieres,FALSE,FALSE,"Pozieres School Road, POZIERES, 4352",,,,,,,
QLD,152.921137,"Bundamba, Inala",,Woodcrest College Auditorium,,Government School,FALSE,,,-27.659128,Springfield,FALSE,FALSE,"38 Nev Smith Drive, SPRINGFIELD, 4300",,,,,,,
QLD,150.134858,Warrego,,State School,,Government School,FALSE,,,-26.925141,Condamine,FALSE,FALSE,"Kennedy Street, CONDAMINE, 4416",,,,,,,
QLD,153.046392,Clayfield,,Presbyterian Church Hall,,Church,TRUE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",http://www.couriermail.com.au/questnews/east/schools-in-a-rush-to-organise-food-stalls-in-time-for-election-day-on-january-31/story-fni9r0lo-1227200790821,-27.392364,Wavell Heights East,FALSE,TRUE,"68 Spence Road, WAVELL HEIGHTS, 4012",,,,,,,
QLD,149.470236,Southern Downs,,State School,,Government School,FALSE,,,-28.487065,Talwood,FALSE,FALSE,"17 Recreation Street, TALWOOD, 4496",,,,,,,
QLD,152.887901,Bundamba,,St Augustine's College,,Private School,TRUE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",@gvandersee,-27.658676,Augustine Heights,FALSE,FALSE,"St Augustines Drive, AUGUSTINE HEIGHTS, 4300",,,,,,,
QLD,152.965778,Indooroopilly,,State School,,Government School,TRUE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",@sausagesizzles,-27.52648,Fig Tree Pocket,FALSE,FALSE,"Cubberla Street, FIG TREE POCKET, 4069",,,,,,,
QLD,153.055167,Sandgate,,Sandgate State High School Assembly Hall,,Government School,TRUE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""Chocolate""}",@sausagesizzles,-27.330163,Deagon,FALSE,FALSE,"41 Braun Street, DEAGON, 4017",,,,,,,
QLD,153.311495,Mudgeeraba,,State School,,Government School,FALSE,,,-28.039595,Gilston,FALSE,FALSE,"588 Worongary Road, GILSTON, 4211",,,,,,,
QLD,148.249722,Burdekin,,PCYC,,Hall,FALSE,,,-20.008333,Bowen,FALSE,FALSE,"Cnr Hay Street and Queens Road, BOWEN, 4805",,,,,,,
QLD,152.990016,Murrumba,,Community Complex,,Other,FALSE,,,-27.15778,Burpengary East,FALSE,FALSE,"Cnr Old Bay & Maitland Roads, BURPENGARY, 4505",,,,,,,
QLD,153.438648,"Burleigh, Mermaid Beach",,Miami State High School,,Government School,FALSE,,,-28.062523,Miami East,FALSE,FALSE,"Gold Coast Highway, MIAMI EAST, 4220",,,,,,,
QLD,147.22641,Burdekin,,State School,,Government School,FALSE,,,-19.783463,Clare,FALSE,FALSE,"Larkin Street, CLAREDALE, 4807",,,,,,,
QLD,151.244026,Callide,,Durong Community Hall,,Hall,FALSE,,,-26.394897,Durong,FALSE,FALSE,"8940 Chinchilla Wondai Road, DURONG SOUTH, 4610",,,,,,,
QLD,153.152257,"Chatsworth, Lytton",,State School,,Government School,TRUE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":true,""other"":""Chicken kebabs""}",@sausagesizzles,-27.491617,Gumdale,FALSE,TRUE,"Access Via Tilley Road, GUMDALE, 4154",,,,,,,
QLD,150.320692,Mirani,,State School,,Government School,FALSE,,,-23.484844,Stanwell,FALSE,FALSE,"10 Teakle Street, STANWELL, 4702",,,,,,,
