polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
Deepwater,151.848,New England,no wheelchair access,Deepwater Public School,7 Sep 2013 8:00-18:00,FALSE,15-25 Young St   DEEPWATER NSW 2371,,NSW,-29.4434,FALSE,FALSE,,,,,,,,,
Dungowan,151.1809597,New England,assisted wheelchair access,Dungowan Community Hall,7 Sep 2013 8:00-18:00,FALSE,Ogunbil Road DUNGOWAN NSW 2340,,NSW,-31.2517507,FALSE,FALSE,,,,,,,,,
Penguin,146.071,Braddon,assisted wheelchair access,Penguin Uniting Church Hall,7 Sep 2013 8:00-18:00,FALSE,50 Main Rd PENGUIN TAS 7316,,TAS,-41.112,FALSE,FALSE,,,,,,,,,
Riana,145.999,Braddon,no wheelchair access,Riana Community Centre,7 Sep 2013 8:00-18:00,FALSE,1221 Pine Rd   RIANA TAS 7316,,TAS,-41.2015,FALSE,FALSE,,,,,,,,,
Ridgley,145.837,Braddon,assisted wheelchair access,Ridgley Primary School,7 Sep 2013 8:00-18:00,FALSE,904 Ridgley Hwy   RIDGLEY TAS 7321,,TAS,-41.1398,FALSE,FALSE,,,,,,,,,
The Grange,144.675,Lalor,"Theatre, assisted wheelchair access",The Grange P-12 College,8/9/13,TRUE,30 Deloraine Drive HOPPERS CROSSING VIC 3029,,VIC,-37.858,FALSE,FALSE,,,,,,,,,
Thomas Chirnside,144.637,Lalor,"Gymnasium, assisted wheelchair access",Thomas Chirnside Primary School,7 Sep 2013 8:00-18:00,FALSE,85-95 Walls Rd   WERRIBEE VIC 3030,,VIC,-37.9034,FALSE,FALSE,,,,,,,,,
Werribee South,144.696467,Lalor,assisted wheelchair access,Mackillop Catholic College,7 Sep 2013 8:00-18:00,FALSE,35 Whites Rd WERRIBEE SOUTH VIC 3030,,VIC,-37.9529992,FALSE,FALSE,,,,,,,,,
Manor Lakes,144.602,Lalor,"Performing Arts Centre, assisted wheelchair access",Manor Lakes P-12 Specialist College,8/9/13,TRUE,2-50 Minindee Rd WYNDHAM VALE VIC 3024,,VIC,-37.8755,FALSE,FALSE,Plus coffee.,,,,,,,,
Manorvale,144.644,Lalor,"Multi Purpose room, assisted wheelchair access",Manorvale Primary School,7 Sep 2013 8:00-18:00,FALSE,232-246 Greaves St Nth   WERRIBEE VIC 3030,,VIC,-37.8936,FALSE,FALSE,,,,,,,,,
Cooktown,145.250661,Leichhardt,full wheelchair access,Cooktown Events Centre,7 Sep 2013 8:00-18:00,FALSE,3 May St COOKTOWN QLD 4895,,QLD,-15.481231,FALSE,FALSE,,,,,,,,,
Melbourne (Lalor),144.9667679,Lalor,assisted wheelchair access,Melbourne City Town Hall,7 Sep 2013 8:00-18:00,FALSE,90-130 Swanston St   MELBOURNE VIC 3000,,VIC,-37.8148203,FALSE,FALSE,,,,,,,,,
Point Cook East,144.725491,Lalor,"Gymnasium, assisted wheelchair access",Point Cook P-9 College,7 Sep 2013 8:00-18:00,FALSE,18-50 Ponsford Dr POINT COOK VIC 3030,,VIC,-37.894211,FALSE,FALSE,,,,,,,,,
Point Cook North,144.73298,Lalor,assisted wheelchair access,Point Cook Senior Secondary College,7 Sep 2013 8:00-18:00,FALSE,23-49 Bergamot Dr cnr Boardwalk Blvd POINT COOK VIC 3030,,VIC,-37.88671,FALSE,FALSE,,,,,,,,,
