polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,first_report,latest_report,stall_name,stall_description,stall_website
St Martin De Porres Catholic Church Hall,144.861624,Niddrie District,,Avondale Heights Central,,FALSE, 158 Military Road Avondale Heights 27 E6,,VIC,-37.758468,FALSE,FALSE,,,,,,,,,
Greek Orthodox Church,144.859964,Niddrie District,,Avondale Heights North,,TRUE, 20 Amis Crescent Keilor East 27 D2,,VIC,-37.749532,FALSE,FALSE,,,,,,,,,
Keilor East - Airport West Uniting Church,144.874476,Niddrie District,,Niddrie,,FALSE, corner Roberts Road and Glenys Avenue Airport West 15 H8,,VIC,-37.725313,FALSE,FALSE,,,,,,,,,
St John Bosco's Primary  School,144.890192,Niddrie District,,Niddrie Central,,FALSE, 6 Teague Street (access via Muriel Street) Niddrie 28 A1,,VIC,-37.744048,FALSE,FALSE,,,,,,,,,
Dargo Public Hall,147.250882,Gippsland East District,,Dargo,,FALSE, 177 Lind Avenue Dargo 65 E9,,VIC,-37.455491,FALSE,FALSE,,,,,,,,,
Maffra Uniting Church Hall,146.976947,Gippsland East District,,Maffra,,FALSE, 7 Pearson Street Maffra 694 B6,,VIC,-37.965428,FALSE,FALSE,,,,,,,,,
Keilor Primary School,144.835542,Niddrie District,,Keilor,,FALSE, Kennedy Street Keilor 14 J5,,VIC,-37.716754,FALSE,FALSE,,,,,,,,,
Keilor Park Kindergarten,144.85814,Niddrie District,,Keilor Park,,FALSE, 2 Thea Court Keilor Park 15 D6,,VIC,-37.720598,FALSE,FALSE,,,,,,,,,
Essendon Keilor College-Keilor East Campus,144.870311,Niddrie District,,Keilor South,,FALSE, 82 Quinn Grove Keilor East 15 G12,,VIC,-37.740381,FALSE,FALSE,,,,,,,,,
Fairfield Primary School,145.0204,Northcote District,,Fairfield,,FALSE, Langridge Street Fairfield 31 A10,,VIC,-37.77799,FALSE,FALSE,,,,,,,,,
Lucknow Primary School,147.63075,Gippsland East District,,Lucknow West,,FALSE, Balmoral Crescent Eastwood 688 K4,,VIC,-37.81267,FALSE,FALSE,,,,,,,,,
Ensay Public Hall,147.838027,Gippsland East District,,Ensay,,FALSE, Great Alpine Road Ensay 66 F7,,VIC,-37.372687,FALSE,FALSE,,,,,,,,,
Karoo Primary School,145.263654,Rowville District,,Karoo,,TRUE, 160 Karoo Road Rowville 73 F9,,VIC,-37.90611,FALSE,TRUE,,,,,,,,,
Nagambie Senior Citizens Hall,145.155068,Euroa District,,Nagambie,,FALSE, 358-360 High Street Nagambie 276 H4,,VIC,-36.781701,FALSE,FALSE,,,,,,,,,
Macorna Sporting Complex,144.029079,Murray Plains District,,Macorna,,FALSE, Macorna South Road Macorna 21 B8,,VIC,-35.923672,FALSE,FALSE,,,,,,,,,
Koyuga Public Hall,144.887586,Murray Plains District,,Koyuga,,FALSE, O'Dea Road Koyuga 31 F5,,VIC,-36.221331,FALSE,FALSE,,,,,,,,,
Ferntree Gully Community Centre,145.290905,Rowville District,,Ferntree Gully Central,,FALSE, 1010 Burwood Highway Ferntree Gully 74 B5,,VIC,-37.889894,FALSE,FALSE,,,,,,,,,
Rowville Primary School,145.23797,Rowville District,,Rowville,,FALSE, Paratea Drive Rowville 81 K2,,VIC,-37.92316,FALSE,FALSE,,,,,,,,,
Nar Nar Goon North Public Hall,145.555591,Narracan District,,Nar Nar Goon North,,FALSE, corner Dore and Bessie Creek Roads Nar Nar Goon North 96 A2,,VIC,-38.01886,FALSE,FALSE,,,,,,,,,
Rowville Secondary College (Eastern Campus),145.26481,Rowville District,,Park Ridge,,FALSE, Humphreys Way Rowville 82 F1,,VIC,-37.9209,FALSE,FALSE,,,,,,,,,
Labertouche Public Hall,145.806703,Narracan District,,Labertouche,,TRUE, 440 Labertouche North Road Labertouche 96 F2,,VIC,-38.048015,FALSE,FALSE,,,,,,,,,
Garfield Primary School,145.67408,Narracan District,,Garfield,,FALSE, 84 Railway Avenue Garfield 718 G3,,VIC,-38.09026,FALSE,FALSE,,,,,,,,,
Merrigum Primary School,145.12966,Euroa District,,Merrigum,,FALSE, Judd Avenue Merrigum 32 D7,,VIC,-36.36932,FALSE,FALSE,,,,,,,,,
Beaumaris North Primary School,145.037317,Sandringham District,,Beaumaris North,,TRUE, McDonald Street Beaumaris 86 D4,,VIC,-37.974034,FALSE,TRUE,,,,,,,,,
St Simons Catholic Primary School,145.244953,Rowville District,,Rowville East,,FALSE, 2 Taylor's Lane Rowville 82 A3,,VIC,-37.925552,FALSE,FALSE,,,,,,,,,
Ruthven Secondary College,145.003,Preston District,,Merrilands,,FALSE, Merrilands Road Reservoir 8 G12,,VIC,-37.69653,FALSE,FALSE,,,,,,,,,
Broadford Secondary College,145.04003,Euroa District,,Broadford,,FALSE, Snodgrass Street Broadford 641 Q4,,VIC,-37.20438,FALSE,FALSE,,,,,,,,,
Moonee Ponds West Primary School,144.908954,Essendon District,,Moonee Ponds West,,FALSE, 150 Athol Street Moonee Ponds 28 E8,,VIC,-37.768566,TRUE,FALSE,,,,,,,,,
Avenel Primary School,145.234366,Euroa District,,Avenel,,FALSE, 39 Livingstone Street Avenel 677 S4,,VIC,-36.90144,FALSE,FALSE,,,,,,,,,
Stanhope Public Hall,144.984287,Euroa District,,Stanhope,,FALSE, Godley Place Stanhope 270 D11,,VIC,-36.446804,FALSE,FALSE,,,,,,,,,
Toolleen Uniting Church Hall,144.685156,Euroa District,,Toolleen,,FALSE, Toolleen-Cornella Road Toolleen 45 O5,,VIC,-36.719508,FALSE,FALSE,,,,,,,,,
Violet Town Community Complex,145.717452,Euroa District,,Violet Town,,FALSE, 35 Cowslip Street Violet Town 308 B7,,VIC,-36.636913,FALSE,FALSE,,,,,,,,,
Anglican Parish Hall,145.136426,Euroa District,,Seymour,,FALSE, 2 Anzac Avenue Seymour 642 E9,,VIC,-37.026213,FALSE,FALSE,,,,,,,,,
Redesdale Public Hall,144.531241,Euroa District,,Redesdale,,TRUE, Kyneton-Redesdale Road Redesdale 60 A2,,VIC,-37.023023,FALSE,FALSE,,,,,,,,,
Longwood Community Centre,145.427455,Euroa District,,Longwood,,TRUE, 2A Down Street Longwood 46 H6,,VIC,-36.805286,FALSE,FALSE,,,,,,,,,
Puckapunyal Neighbourhood Centre,145.03884,Euroa District,,Puckapunyal,,TRUE, Labuan Street Puckapunyal 61 B2,,VIC,-37.002577,FALSE,FALSE,,,,,,,,,
Arcadia Community Centre,145.33316,Euroa District,,Arcadia,,FALSE, Main Street Arcadia 46 G3,,VIC,-36.563403,FALSE,FALSE,,,,,,,,,
Wandong Primary School,145.027861,Euroa District,,Wandong,,TRUE, 39 Rail Street Wandong 291 E7,,VIC,-37.360304,FALSE,FALSE,,,,,,,,,
Essendon Primary School,144.92104,Essendon District,,Glenbervie,,TRUE, Nicholson Street Essendon 28 H3,,VIC,-37.7531,FALSE,FALSE,,,,,,,,,
Somerville Primary School,145.17914,Hastings District,,Somerville,,FALSE, Eramosa Road East Somerville 107 F12,,VIC,-38.22402,FALSE,FALSE,,,,,,,,,
Elsternwick Primary School,144.997792,Brighton District,,Elsternwick South,,FALSE, 44-48 Murphy Street Brighton 67 F5,,VIC,-37.891016,FALSE,FALSE,,,,,,,,,
Brighton Secondary College,145.018513,Brighton District,,Brighton High,,TRUE, 120 Marriage Road Brighton East 76 K1,,VIC,-37.921091,FALSE,TRUE,,,,,,,,,
Ludstone Scout Hall,145.012805,Brighton District,,Ludstone,,FALSE, corner Ludstone and Kingston Streets Hampton 76 J5,,VIC,-37.933844,FALSE,FALSE,,,,,,,,,
Elwood Primary School,144.988187,Brighton District,,Elwood North,,TRUE, corner Mitford Street and Scott Street Elwood 67 C2,,VIC,-37.881818,FALSE,FALSE,,,,,,,,,
St. Columba's Catholic School & Church,144.981781,Brighton District,,Elwood,,TRUE, 24 Glen Huntly Road Elwood 67 B3,,VIC,-37.88231,FALSE,TRUE,,,,,,,,,
Melbourne Montessori,145.017617,Brighton District,,Brighton East,,FALSE, 739 Hawthorn Road Brighton East 67 K11,,VIC,-37.911901,FALSE,FALSE,,,,,,,,,
11th Box Hill Scout Hall,145.127763,Box Hill District,,Tyne,,TRUE, 31 Tyne Street Box Hill North 47 E7,,VIC,-37.810984,FALSE,FALSE,,,,,,,,,
All Hallows Yr9 Campus Genazzano FCJ College,145.086806,Box Hill District,,Balwyn,,FALSE, 3 Brenbeal Street Balwyn 46 F7,,VIC,-37.812297,TRUE,FALSE,,,,,,,,,
Dendy Scout Hall,145.015864,Brighton District,,Dendy,,FALSE, 210 Dendy Street Brighton East 76 K2,,VIC,-37.922367,FALSE,FALSE,,,,,,,,,
St Stephen's Gardenvale Anglican Church Hall,144.999431,Brighton District,,Gardenvale,,TRUE, corner North Road and Cochrane Street Brighton 67 F7,,VIC,-37.898566,FALSE,TRUE,,,,,,,,,
Murrabit Public Hall,143.957401,Murray Plains District,,Murrabit,,FALSE, Gonn Avenue Murrabit 20 H2,,VIC,-35.526742,FALSE,FALSE,,,,,,,,,
Tongala Shire Hall,144.950055,Murray Plains District,,Tongala,,FALSE, 92-96 Mangan Street Tongala 599 M10,,VIC,-36.250191,FALSE,FALSE,,,,,,,,,
Lancaster Primary School,145.13282,Murray Plains District,,Lancaster,,FALSE, 8 Weller Road Lancaster 32 D7,,VIC,-36.31325,FALSE,FALSE,,,,,,,,,
Echuca West Primary School,144.71001,Murray Plains District,,Echuca West,,FALSE, 189 Echuca West School Road Echuca West 31 D4,,VIC,-36.16536,FALSE,FALSE,,,,,,,,,
Nanneella Estate Primary School,144.777776,Murray Plains District,,Nanneella,,FALSE, Echuca-Nanneella Road Nanneella 31 E7,,VIC,-36.313044,FALSE,FALSE,,,,,,,,,
Swan Hill North Primary School,143.54607,Murray Plains District,,Swan Hill North,,FALSE, corner Chapman and Murlong Streets Swan Hill 586 F2,,VIC,-35.33179,FALSE,FALSE,,,,,,,,,
Longhurst Hall - FLO Campus,143.56331,Murray Plains District,,Swan Hill South,,FALSE, Murray Valley Highway Swan Hill 14 A7,,VIC,-35.35671,FALSE,FALSE,,,,,,,,,
Kerang Technical High School (Thornely Hall),143.9138,Murray Plains District,,Kerang North,,FALSE, 48 Murray Street Kerang 20 G5,,VIC,-35.72565,FALSE,FALSE,,,,,,,,,
Kensington Community Recreation Centre,144.924499,Melbourne District,,South Kensington,,TRUE, corner Kensington Road and Altona Street Kensington 2T G6,,VIC,-37.79683,FALSE,FALSE,,,,,,,,,
Carlton North Primary School,144.973102,Melbourne District,,Carlton Central,,TRUE, Lee Street Carlton North 2B J3,,VIC,-37.790982,FALSE,TRUE,,,,,,,,,
Dallas Brooks Centre,144.981732,Melbourne District,,East Melbourne,,TRUE, corner Albert and Eades Streets East Melbourne 2G C1,,VIC,-37.809777,FALSE,FALSE,,,,,,,,,
Carlton Primary School,144.970126,Melbourne District,,Carlton,,FALSE, corner Palmerston and Drummond Streets Carlton 2B H5,,VIC,-37.795634,TRUE,FALSE,,,,,,,,,
University High School - Performance Centre,144.956034,Melbourne District,,Parkville,,TRUE, Story Street Parkville 2B A6,,VIC,-37.797472,FALSE,FALSE,,,,,,,,,
Library at the Dock,144.940687,Melbourne District,,Docklands,,FALSE, Junction of Collins and Bourke Street Docklands 2E E7,,VIC,-37.82033,TRUE,FALSE,,,,,,,,,
Multicultural Hub - Drill Hall,144.960837,Melbourne District,,Queen Victoria,,FALSE, 51-57 Victoria Street Melbourne 3000 1E J2,,VIC,-37.806633,FALSE,FALSE,,,,,,,,,
Victoria University - Flinders Campus,144.96416,Melbourne District,,Melbourne,Lvl 9,FALSE,Lvl 9 300 Flinders Street Melbourne 1A K9,,VIC,-37.818153,TRUE,FALSE,Also apparently a really long queue.,,,,,,,,
St. Michael's Anglican Church Hall,144.968423,Melbourne District,,Carlton North,,TRUE, 14 McIlwraith Street Carlton North 29 J12,,VIC,-37.785136,FALSE,TRUE,,,,,,,,,
Kensington Primary School,144.927379,Melbourne District,,Kensington,,TRUE, McCracken Street Kensington 2T J4,,VIC,-37.792563,FALSE,TRUE,Sold out!,,,,,,,,
Mitiamo Football Club Social Rooms,144.236036,Murray Plains District,,Mitiamo,,FALSE, Echuca-Mitiamo Road Mitiamo 30 E5,,VIC,-36.211394,FALSE,FALSE,,,,,,,,,
Branxholme Hall,141.796457,Lowan District,,Branxholme,,FALSE, McNicol Street Branxholme 72 E7,,VIC,-37.857346,FALSE,FALSE,,,,,,,,,
Pimpinio Uniting Church Hall,142.117195,Lowan District,,Pimpinio,,FALSE, 47 Church Street Pimpinio 40 C3,,VIC,-36.583985,FALSE,FALSE,,,,,,,,,
New Gisborne Primary School,144.59658,Macedon District,,New Gisborne,,FALSE, 239 Station Road New Gisborne 425 C2,,VIC,-37.46289,FALSE,FALSE,,,,,,,,,
Quantong Community Centre,142.025595,Lowan District,,Quantong,,FALSE, 52 Chequer Road Quantong 40 B6,,VIC,-36.754801,FALSE,FALSE,,,,,,,,,
Laharum Primary School,142.32206,Lowan District,,Laharum,,FALSE, 1574 Northern Grampians Road Laharum 40 G9,,VIC,-36.94493,FALSE,FALSE,,,,,,,,,
Murtoa Uniting Church Education Centre,142.470317,Lowan District,,Murtoa,,FALSE, 62 McDonald Street Murtoa 40 J3,,VIC,-36.620874,FALSE,FALSE,,,,,,,,,
Mount Macedon Primary School,144.58413,Macedon District,,Mount Macedon,,FALSE, 641 Mount Macedon Road Mount Macedon 285 S6,,VIC,-37.40479,FALSE,FALSE,,,,,,,,,
Elphinstone Recreation Reserve Hall,144.346409,Macedon District,,Elphinstone,,FALSE, corner Sutton Grange Road and Olivers Lane Elphinstone 59 G3,,VIC,-37.09616,FALSE,FALSE,,,,,,,,,
Malthouse Theatre - Beckett Theatre,144.966781,Albert Park District,,Southbank,,FALSE, 113 Sturt Street Southbank 2F F11,,VIC,-37.826937,FALSE,FALSE,,,,,,,,,
Dergholm Hall,141.215477,Lowan District,,Dergholm,,FALSE, 3502 Casterton-Apsley Road Dergholm 53 E7,,VIC,-37.370934,FALSE,FALSE,,,,,,,,,
Horsham West Primary School,142.17999,Lowan District,,Horsham West,,TRUE, 24 Hillary Street Horsham 544 C6,,VIC,-36.71742,FALSE,FALSE,,,,,,,,,
Genazzano College,145.057051,Kew District,,Cotham,,FALSE, 301 Cotham Road (access via Mont Victor Road) Kew 45 J6,,VIC,-37.809102,FALSE,FALSE,,,,,,,,,
Kew East Primary School,145.049058,Kew District,,Kew North,,TRUE, 35 Kitchener Street Kew East 45 G3,,VIC,-37.796115,FALSE,TRUE,,,,,,,,,
Kew East Uniting Church Hall,145.056165,Kew District,,Kew East,,FALSE, 142 Normanby Road Kew East 45 J3,,VIC,-37.79761,FALSE,FALSE,,,,,,,,,
Balwyn Church of Christ Hall,145.079996,Kew District,,Balwyn Central,,FALSE, corner Whitehorse and Cherry Roads Balwyn 46 D8,,VIC,-37.81295,FALSE,FALSE,,,,,,,,,
1st Kew Scout Hall,145.03941,Kew District,,Hyde Park,,TRUE, corner Willsmere Road and Kellett Grove Kew 45 E2,,VIC,-37.791603,FALSE,FALSE,,,,,,,,,
Balwyn North Primary School,145.076826,Kew District,,Balwyn North,,TRUE, corner Buchanan and Maud Streets Balwyn North 46 C3,,VIC,-37.796488,FALSE,TRUE,,,,,,,,,
Our Lady of Good Counsel,145.062706,Kew District,,Deepdene,,TRUE, 52 Deepdene Rd (access via Campbell Road) Deepdene 45 K7,,VIC,-37.810993,FALSE,TRUE,,,,,,,,,
Belle Vue Primary School,145.079131,Kew District,,Balwyn North West,,TRUE, 20 Highview Road Balwyn North 32 D11,,VIC,-37.781835,FALSE,FALSE,,,,,,,,,
Boroondara Park Primary School,145.087223,Kew District,,Boroondara,,TRUE, Almond Street Balwyn North 46 F1,,VIC,-37.789136,FALSE,TRUE,Garage sale,,,,,,,,
Belle Vue Kindergarten,145.074079,Kew District,,Balwyn North Central,,FALSE, 49 Bulleen Road Balwyn North 46 C1,,VIC,-37.788061,FALSE,FALSE,,,,,,,,,
Nicholson Recreation Rooms,147.748645,Gippsland East District,,Nicholson,,FALSE, 1010 Princes Highway Nicholson 84 D7,,VIC,-37.815888,FALSE,FALSE,,,,,,,,,
Mount Waverley Primary School,145.12409,Mount Waverley District,,Mount Waverley South,,TRUE, Park Lane Mount Waverley 70 D2,,VIC,-37.88091,FALSE,TRUE,,,,,,,,,
Pinewood Primary School,145.14221,Mount Waverley District,,Pinewood,,TRUE, Pinewood Drive Mount Waverley 70 H5,,VIC,-37.89016,FALSE,TRUE,,,,,,,,,
Glendal Primary School,145.15898,Mount Waverley District,,Glendal,,FALSE, 55 Nottingham Street Glen Waverley 62 B11,,VIC,-37.8673,FALSE,FALSE,,,,,,,,,
Glen Waverley Secondary College,145.162731,Mount Waverley District,,The Glen,,FALSE, O'Sullivan Road Glen Waverley 71 C1,,VIC,-37.877152,FALSE,FALSE,,,,,,,,,
Mount Waverley Secondary College - Senior Campus,145.13241,Mount Waverley District,,Mount Waverley North,,FALSE, Lechte Road (access via Beaufort Street) Mount Waverley 61 F11,,VIC,-37.868159,FALSE,FALSE,,,,,,,,,
Brandon Park Primary School,145.17325,Mulgrave District,,Brandon Park,,FALSE, 40298 Ninevah Crescent Wheelers Hill 71 E11,,VIC,-37.91432,FALSE,FALSE,,,,,,,,,
St. Lukes Anglican Church Hall,145.163905,Mulgrave District,,Clareville,,FALSE, 59 Police Road Mulgrave 80 C5,,VIC,-37.93337,FALSE,FALSE,,,,,,,,,
Albany Rise Primary School,145.17279,Mulgrave District,,Northvale,,FALSE, Albany Drive Mulgrave 80 E3,,VIC,-37.92833,TRUE,FALSE,,,,,,,,,
Carwatha College,145.18913,Mulgrave District,,Waverley Park,,TRUE, 43-81 Browns Road Noble Park North 80 J7,,VIC,-37.94245,FALSE,TRUE,,,,,,,,,
Waverley Meadows Primary School,145.18434,Mulgrave District,,Waverley Meadows,,FALSE, 11 Columbia Drive Wheelers Hill 71 H11,,VIC,-37.91436,FALSE,FALSE,,,,,,,,,
Auburn Primary School,145.050392,Hawthorn District,,Auburn North,,TRUE, 51 Rathmines Road Hawthorn East 45 G9,,VIC,-37.819619,FALSE,TRUE,,,,,,,,,
St Thomas More School,144.944647,Pascoe Vale District,,Glenroy East,,FALSE, 30 Angus Street (access via North Street) Hadfield 17 D2,,VIC,-37.707782,FALSE,FALSE,,,,,,,,,
Newlands Senior Citizens' Club,144.981355,Pascoe Vale District,,Murray,,FALSE, 49-53 Murray Rd (access via Connelly Street) Coburg 18 B11,,VIC,-37.736184,FALSE,FALSE,,,,,,,,,
Johnsonville Public Hall,147.831486,Gippsland East District,,Johnsonville,,TRUE, Princes Highway Johnsonville 84 F7,,VIC,-37.819996,FALSE,FALSE,Jumble sale!,,,,,,,,
St Mary's Parish Centre - Bairnsdale,147.627184,Gippsland East District,,Bairnsdale,,FALSE, 23 Pyke Street Bairnsdale 688 J7,,VIC,-37.826368,FALSE,FALSE,,,,,,,,,
Glenrowan Primary School,146.222288,Ovens Valley District,,Glenrowan,,FALSE, 40 Beaconsfield Parade Glenrowan 666 F10,,VIC,-36.460163,FALSE,FALSE,,,,,,,,,
Boisdale Public Hall,146.988177,Gippsland East District,,Boisdale,,FALSE, Maffra Briagolong Road Boisdale VR 82 H8,,VIC,-37.882788,FALSE,FALSE,,,,,,,,,
Eagle Point Primary School,147.680229,Gippsland East District,,Eagle Point,,FALSE, 43 School Road Eagle Point 84 C8,,VIC,-37.892459,FALSE,FALSE,,,,,,,,,
Bendoc Public Hall,148.885277,Gippsland East District,,Bendoc,,FALSE, 26 Dowling Road Bendoc 68 G4,,VIC,-37.147054,FALSE,FALSE,,,,,,,,,
Meerlieu Primary School,147.38904,Gippsland East District,,Meerlieu,,FALSE, Bengworden Road Meerlieu 99 H2,,VIC,-38.00133,FALSE,FALSE,,,,,,,,,
Wangaratta High School,146.308482,Ovens Valley District,,West End,,FALSE, 188 Phillipson Street Wangaratta 664 D9,,VIC,-36.339573,FALSE,FALSE,,,,,,,,,
Briagolong Mechanics Institute,147.068442,Gippsland East District,,Briagolong,,FALSE, 9 Avon Street Briagolong 694 J10,,VIC,-37.843172,FALSE,FALSE,,,,,,,,,
Pascoe Vale Senior Citizens Centre,144.934039,Pascoe Vale District,,Gaffney,,FALSE, Norton Street Pascoe Vale 17 A9,,VIC,-37.728656,FALSE,FALSE,,,,,,,,,
St Dunstans Anglican Church Hall,145.079436,Hawthorn District,,Willison,,FALSE, 163 Wattle Valley Road Camberwell 60 D4,,VIC,-37.842231,FALSE,FALSE,,,,,,,,,
Tatura Primary School,145.22992,Shepparton District,,Tatura,,TRUE, Service Street Tatura 671 N5,,VIC,-36.44497,FALSE,FALSE,,,,,,,,,
Waaia/ Yalca South Primary School,145.32862,Shepparton District,,Waaia,,FALSE, Cowan Street Waaia 32 G2,,VIC,-36.05147,FALSE,FALSE,,,,,,,,,
Shepparton East Primary School,145.479281,Shepparton District,,Shepparton East,,FALSE, 15 School Road Shepparton East 32 J8,,VIC,-36.400193,TRUE,FALSE,,,,,,,,,
Strathmerton Memorial Hall,145.477888,Shepparton District,,Strathmerton,,FALSE, Murray Valley Highway Strathmerton 22 J8,,VIC,-35.925988,FALSE,FALSE,,,,,,,,,
Ardmona Primary School,145.31307,Shepparton District,,Ardmona,,FALSE, 580 Turnbull Road Ardmona 32 F7,,VIC,-36.38546,FALSE,FALSE,,,,,,,,,
Guthrie Street Primary School,145.39097,Shepparton District,,Guthrie Street,,FALSE, Guthrie Street Shepparton 675 N1,,VIC,-36.3985,FALSE,FALSE,,,,,,,,,
Picola Public Hall,145.1087,Shepparton District,,Picola,,FALSE, 1 Picola-Barmah Road Picola 32 C1,,VIC,-35.999094,FALSE,FALSE,,,,,,,,,
Gowrie Street Primary School,145.39635,Shepparton District,,Gowrie Street,,TRUE, 42004 Gowrie Street Shepparton 673 O6,,VIC,-36.3668,FALSE,TRUE,,,,,,,,,
Bourchier Street Primary School,145.413279,Shepparton District,,Storey,,TRUE, 1 Bourchier Street Shepparton 673 R6,School website,VIC,-36.36698,FALSE,FALSE,,,,,,,,,
Wanganui Park Secondary College,145.3919,Shepparton District,,Wanganui,,FALSE, 42004 Parkside Drive Shepparton 673 N4,,VIC,-36.35704,FALSE,FALSE,,,,,,,,,
Elliminyt Primary Events & Education Centre (EPEE),143.5837,Polwarth District,,Elliminyt,,TRUE, Main Street Elliminyt 90 G8,,VIC,-38.36135,FALSE,TRUE,,,,,,,,,
Lorne Senior Citizens Centre,143.973002,Polwarth District,,Lorne,,FALSE, Mountjoy Parade Lorne 528 F9,,VIC,-38.536939,FALSE,FALSE,,,,,,,,,
Lavers Hill Public Hall,143.387351,Polwarth District,,Lavers Hill,,FALSE, 47 Great Ocean Road Lavers Hill 91 J8,,VIC,-38.682731,FALSE,FALSE,,,,,,,,,
Derrinallum Community Hall,143.216808,Polwarth District,,Derrinallum,,FALSE, Main Street Derrinallum 76 E7,,VIC,-37.948276,FALSE,FALSE,,,,,,,,,
Anglesea Memorial Hall,144.184968,Polwarth District,,Anglesea,,FALSE, McMillan Street Anglesea 526 E4,,VIC,-38.409551,FALSE,FALSE,,,,,,,,,
Camperdown P-12 College,143.145269,Polwarth District,,Camperdown,,FALSE, 1 Wilson Street Camperdown 517 O5,,VIC,-38.239844,FALSE,FALSE,,,,,,,,,
Birregurra Community Health Centre,143.786164,Polwarth District,,Birregurra,,FALSE, 28-30 Strachan Street Birregurra 92 E7,,VIC,-38.33628,FALSE,FALSE,,,,,,,,,
Cobden Civic Hall,143.077068,Polwarth District,,Cobden,,FALSE, 53-55 Victoria Street Cobden 518 D4,,VIC,-38.327043,FALSE,FALSE,,,,,,,,,
Cororooke Public Hall,143.522145,Polwarth District,,Cororooke,,FALSE, 580 Corangamite Lake Road Cororooke 92 A6,,VIC,-38.284129,FALSE,FALSE,,,,,,,,,
Irrewillipe Public Hall,143.441393,Polwarth District,,Irrewillipe East,,FALSE, 2480 Timboon-Colac Road Irrewillipe 523 N9,,VIC,-38.410822,FALSE,FALSE,,,,,,,,,
Coldstream Community Centre,145.38189,Evelyn District,,Coldstream,,FALSE, Kelso Street Coldstream 281 B10,,VIC,-37.734101,FALSE,FALSE,,,,,,,,,
Seville Primary School,145.46423,Evelyn District,,Seville,,TRUE, 639 Warburton Highway Seville 285 A9,,VIC,-37.773823,FALSE,TRUE,,,,,,,,,
St Patrick's Community Centre,145.352044,Evelyn District,,Lilydale,,FALSE, Jones Street Lilydale 38 F4,,VIC,-37.753207,FALSE,FALSE,,,,,,,,,
Chirnside Park Primary School,145.312288,Evelyn District,,Chirnside Park,,TRUE, 66 Kimberley Drive Chirnside Park 37 F2,,VIC,-37.749959,FALSE,FALSE,,,,,,,,,
Gruyere Primary School,145.45039,Evelyn District,,Gruyere,,TRUE, 99 Killara Road Gruyere 282 H10,,VIC,-37.73409,FALSE,FALSE,Book fair!,,,,,,,,
Wandin Yallock Primary School,145.435698,Evelyn District,,Wandin Yallock,,FALSE, 105 Beenak Road Wandin North 121 D2,,VIC,-37.790093,FALSE,FALSE,,,,,,,,,
Swanpool Football Club,145.98034,Euroa District,,Swanpool,,FALSE, Swanpool Lima Road Swanpool 48 A5,,VIC,-36.749194,FALSE,FALSE,,,,,,,,,
Devenish Primary School,145.89434,Euroa District,,Devenish,,FALSE, Main Road Devenish 33 G7,,VIC,-36.32654,FALSE,FALSE,,,,,,,,,
Rushworth P-12 College,145.0144,Euroa District,,Rushworth,,FALSE, Heily Street Rushworth 598 D10,,VIC,-36.58332,FALSE,FALSE,,,,,,,,,
Lilydale Heights College,145.340813,Evelyn District,,Lilydale Heights,,FALSE, 17 Nelson Road Lilydale 38 C2,,VIC,-37.745623,FALSE,FALSE,,,,,,,,,
Carranballac P-9 College - Jamieson Way Campus,144.7456,Altona District,,Jamieson Way,,TRUE, Jamieson Way Point Cook 207 H6,,VIC,-37.89515,FALSE,FALSE,,,,,,,,,
Laverton P-12 College,144.77263,Altona District,,Laverton North,,FALSE, 91 Bladin Street Laverton 3028 53 E8,,VIC,-37.85617,FALSE,FALSE,,,,,,,,,
Koo Wee Rup Community Centre,145.487136,Bass District,,Koo Wee Rup,,FALSE, Rossiter Road Koo Wee Rup 718 B4,,VIC,-38.200514,FALSE,FALSE,,,,,,,,,
Lakeside Lutheran College,145.455624,Bass District,,Lakeside East,,FALSE, 2 Portobello Road Pakenham 215 H5,,VIC,-38.065291,FALSE,FALSE,,,,,,,,,
Altona Primary School,144.822342,Altona District,,Altona,,TRUE, 109 Blyth Street Altona 3028 54 F10,,VIC,-37.867238,FALSE,FALSE,,,,,,,,,
Altona Meadows Community Centre,144.783334,Altona District,,Altona Meadows CC,,FALSE, 28 Trafalgar Avenue Altona Meadows 3028 208 G1,,VIC,-37.877851,FALSE,FALSE,,,,,,,,,
Carranballac P-9 College - Boardwalk Campus,144.742175,Altona District,,Boardwalk,,FALSE, corner Dunnings Road and Foxwood Drive Point Cook 3030 207 H3,,VIC,-37.884808,FALSE,FALSE,,,,,,,,,
Altona Meadows Primary School,144.77967,Altona District,,Altona Meadows,,FALSE, 78-88 Alma Avenue Altona Meadows 3028 53 F11,,VIC,-37.868231,FALSE,FALSE,,,,,,,,,
Lang Lang Primary School,145.569418,Bass District,,Lang Lang,,FALSE, 52 Westernport Road Lang Lang 718 C10,,VIC,-38.263169,FALSE,FALSE,,,,,,,,,
Cape Paterson Community Hall,145.621514,Bass District,,Cape Paterson,,FALSE, Cape Paterson Road Cape Paterson 712 D10,,VIC,-38.669488,FALSE,FALSE,,,,,,,,,
Port Melbourne Primary School,144.933876,Albert Park District,,Port Melbourne,,FALSE, 415 Graham Street Port Melbourne 57 A2,,VIC,-37.835367,TRUE,FALSE,,,,,,,,,
