polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,first_report,latest_report,stall_name,stall_description,stall_website
Nhill Uniting Church Hall,141.648618,Lowan District,,Nhill,,FALSE, 57 Victoria Street Nhill 546 C3,,VIC,-36.335164,FALSE,FALSE,,,,,,,,,
Boorhaman Hall,146.286211,Ovens Valley District,,Boorhaman,,FALSE, 1544 Boorhaman Road Boorhaman 34 F5,,VIC,-36.210738,FALSE,FALSE,,,,,,,,,
Tarrawingee Hall,146.445371,Ovens Valley District,,Tarrawingee,,FALSE, Great Alpine Road Tarrawingee 34 J8,,VIC,-36.391162,FALSE,FALSE,,,,,,,,,
Invergordon Primary School,145.6111,Ovens Valley District,,Invergordon,,FALSE, 1292 Invergordon Road Invergordon 33 B4,,VIC,-36.14569,FALSE,FALSE,,,,,,,,,
Barmah Community Hall,144.962215,Shepparton District,,Barmah,,FALSE, Schier Street Barmah VR 31 H2,,VIC,-36.015721,FALSE,FALSE,,,,,,,,,
St Georges Road Primary School,145.40574,Shepparton District,,St Georges Road,,FALSE, 120 St Georges Road Shepparton 673 P11,,VIC,-36.39009,FALSE,FALSE,,,,,,,,,
Nathalia Community Centre,145.206101,Shepparton District,,Nathalia,,FALSE, Robertson Street Nathalia 669 S11,,VIC,-36.060853,FALSE,FALSE,,,,,,,,,
Mooroopna Secondary College,145.351819,Shepparton District,,Mooroopna,,FALSE, 141-179 Echuca Road Mooroopna 672 D6,,VIC,-36.381771,FALSE,FALSE,,,,,,,,,
Dookie Primary School,145.68279,Shepparton District,,Dookie,,FALSE, Baldock Street Dookie 33 D7,,VIC,-36.33107,FALSE,FALSE,,,,,,,,,
Montpellier Primary School,144.31612,South Barwon District,,Highton North,,FALSE, 21-31 Lambhill Crescent Highton 451 B9,,VIC,-38.16627,FALSE,FALSE,,,,,,,,,
Mount Duneed Regional Primary  School,144.31961,South Barwon District,,Mount Duneed,,FALSE, 100 Williams Road Mount Duneed 479 C5,,VIC,-38.24102,FALSE,FALSE,,,,,,,,,
St Lukes Uniting Church,144.31039,South Barwon District,,Highton Central,,FALSE, 174 Barrabool Road Highton 451 A9,,VIC,-38.169111,FALSE,FALSE,,,,,,,,,
St Therese Primary School,144.31277,South Barwon District,,Torquay North,,TRUE, 50 Grossmans Road Torquay 505 J3,,VIC,-38.321393,FALSE,TRUE,,,,,,,,,
Grovedale Primary School,144.347889,South Barwon District,,Grovedale Central,,TRUE, 143 Bailey Street Grovedale 465 J5,,VIC,-38.197559,FALSE,TRUE,,,,,,,,,
Mitcham Uniting Church Hall,145.196464,Ringwood District,,Mitcham,,TRUE, 559 Whitehorse Road Mitcham 48 K8,,VIC,-37.8154,FALSE,FALSE,,,,,,,,,
Norwood Secondary College,145.237815,Ringwood District,,Norwood,,FALSE, Byron Street Ringwood 49 K4,,VIC,-37.799652,FALSE,FALSE,,,,,,,,,
4th Ringwood Scout Hall,145.244728,Ringwood District,,Ringwood East,,FALSE, Mines Road Ringwood East 50 A7,,VIC,-37.80861,FALSE,FALSE,,,,,,,,,
Kinglake West Mechanics Institute Hall,145.258274,Eildon District,,Kinglake West,,FALSE, 1055 Whittlesea-Kinglake Road Kinglake West 428 F2,,VIC,-37.48111,FALSE,FALSE,,,,,,,,,
Greenhills Primary School,145.118148,Eltham District,,Greenhills,,FALSE, Mine Street Greensborough 11 C11,,VIC,-37.691859,FALSE,FALSE,,,,,,,,,
Montmorency Primary School,145.1216,Eltham District,,Montmorency,,TRUE, 60A Rattray Road Montmorency 21 D6,,VIC,-37.71765,FALSE,TRUE,Car boot sale,,,,,,,,
Tetoora Road Community Centre,145.893084,Narracan District,,Tetoora Road,,FALSE, Warragul-Korumburra Road Tetoora Road 96 G6,,VIC,-38.270926,FALSE,FALSE,,,,,,,,,
