polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
Winkie,140.5257636,Chaffey, ;  No Wheelchair Access,Croation Association Hall,,FALSE,41 Bullpit Rd WINKIE SA,,SA,-34.3126383,FALSE,FALSE,,,,,,,,,
Wirrabara,138.2667496,Stuart, ;  Assisted Wheelchair Access,Wirrabara Institute Hall,,FALSE,Cnr West Tce & Hill Side Rd WIRRABARA SA,,SA,-33.0355004,FALSE,FALSE,,,,,,,,,
Wirrulla,134.533517,Flinders, ;  No Wheelchair Access,Wirrulla Memorial Hall,,FALSE,Cnr Chapman Tce & Dewar St WIRRULLA SA,,SA,-32.4037598,FALSE,FALSE,,,,,,,,,
Seaton West,138.505836,Colton, ;  Full Wheelchair Access,Christian Family Centre,,FALSE,185 Frederick Rd SEATON SA,,SA,-34.898174,FALSE,FALSE,,,,,,,,,
Woodville South,138.5371787,Cheltenham, ;  Assisted Wheelchair Access,Adelaide Miethke Kindergarten,,FALSE,Cnr Oval & Cedar Ave WOODVILLE SOUTH SA,,SA,-34.8842075,FALSE,FALSE,,,,,,,,,
Woomera,136.824344,Giles, ;  Assisted Wheelchair Access,Woomera Board Community Centre,,FALSE,Banool Ave WOOMERA SA,,SA,-31.1991685,FALSE,FALSE,,,,,,,,,
Stirling West,138.707676,Heysen, ;  Full Wheelchair Access,St Catherine's School,,FALSE,22 Ayers Hill Rd STIRLING SA,,SA,-35.00393,FALSE,FALSE,,,,,,,,,
Stirling North,137.839248,Stuart,School Gym;  Assisted Wheelchair Access,Stirling North Primary School,,FALSE,Beckman St STIRLING NORTH SA,,SA,-32.5131833,FALSE,FALSE,,,,,,,,,
St Morris,138.655678,Dunstan, ;  Assisted Wheelchair Access,Adelaide Korean Church Hall,,FALSE,40 Third Ave ST MORRIS SA,,SA,-34.911144,FALSE,FALSE,,,,,,,,,
St Agnes,138.7103723,Newland, ;  Full Wheelchair Access,St Agnes Primary School,,FALSE,Smart Rd ST AGNES SA,,SA,-34.8322116,FALSE,FALSE,,,,,,,,,
Springton,139.0894273,Schubert, ;  Assisted Wheelchair Access,Springton Public Hall,,FALSE,Graetz Tce SPRINGTON SA,,SA,-34.7068221,FALSE,FALSE,,,,,,,,,
Spalding,138.6081729,Stuart, ;  Assisted Wheelchair Access,Spalding Hall Complex,,FALSE,Main St SPALDING SA,,SA,-33.498039,FALSE,FALSE,,,,,,,,,
Stirling,138.73475,Heysen, ;  Full Wheelchair Access,Stirling East Primary School,,TRUE,51 Braeside Rd STIRLING SA,,SA,-35.002144,FALSE,FALSE,,,,,,,,,
Stansbury,137.796695,Goyder, ;  Assisted Wheelchair Access,Stansbury Institute Hall,,FALSE,6 Weaver St STANSBURY SA,,SA,-34.909344,FALSE,FALSE,,,,,,,,,
St Peters West,138.6276022,Dunstan, ;  Full Wheelchair Access,College Park Scout Hall,,TRUE,95 Fourth Ave ST PETERS SA,,SA,-34.9022202,FALSE,TRUE,,,,,,,,,
St Peters,138.6262697,Dunstan,Disabled access via Westminster St staff carpark;  Full Wheelchair Access,East Adelaide Primary School,,FALSE,Second Ave ST PETERS SA,,SA,-34.9074096,FALSE,FALSE,,,,,,,,,
Dublin,138.3506584,Goyder, ;  Full Wheelchair Access,Dublin Institute,,FALSE,Cnr Sixth & First Sts DUBLIN SA,,SA,-34.4545955,FALSE,FALSE,,,,,,,,,
Echunga,138.7973924,Heysen, ;  Full Wheelchair Access,Echunga Primary School,,FALSE,802 Echunga Rd ECHUNGA SA,,SA,-35.0771677,FALSE,FALSE,,,,,,,,,
Cudlee Creek,138.815338,Morialta, ;  No Wheelchair Access,Cudlee Creek Soldiers Memorial Hall,,FALSE,4 Redden Rd CUDLEE CREEK SA,,SA,-34.841913,FALSE,FALSE,,,,,,,,,
