stall_description,lon,has_run_out,has_nothing,has_caek,has_bbq,ess_stall_url,ess_stall_id,latest_report,first_report,stall_website,lat,stall_name,extra_info,source,has_other,polling_place_type,booth_info,opening_hours,address,premises,polling_place_name,division,state
"sausage sizzle, lollie bags and cold cans",115.93413,FALSE,FALSE,FALSE,TRUE,,,2017-03-07 09:27:18.519228+00,2017-03-07 09:27:18.519228+00,,-31.95806,Belmont City College Democracy Sausage Sizzle,,,{},Public School,,,"106 Fisher Street, BELMONT WA 6104",Belmont,Belmont City College,Belmont,WA
"Sausages, bread and drinks",115.634011,FALSE,FALSE,FALSE,TRUE,,,2017-03-11 02:21:03.259139+00,2017-03-10 23:32:52.161481+00,,-33.357929,Carey Park Football Netball Club,,User-Submitted,{},Public School,,,"Adam Road, SOUTH BUNBURY WA 6230",Bunbury,Adam Road Primary School,Bunbury,WA
sausage sizzle,115.7702602,FALSE,FALSE,FALSE,TRUE,,,2017-03-09 07:23:16.036912+00,2017-03-09 07:23:16.036912+00,,-32.0363,RICHMOND PRIMARY,,User-Submitted,{},Public School,,,"37 Windsor Road, EAST FREMANTLE WA 6158",Bicton,Richmond Primary School,Bicton,WA
sausage sizzle,115.74892,FALSE,FALSE,FALSE,TRUE,,,2017-03-09 10:15:38.368818+00,2017-03-09 10:15:38.368818+00,,-31.73304,Currambine Primary School,,User-Submitted,"{""has_vego"":true}",Public School,,,"28 Ambassador Drive, CURRAMBINE WA 6028",Burns Beach,Currambine Primary School,Burns Beach,WA
"sausages, bread, onion, drinks fund raiser for dance school",115.72626,FALSE,FALSE,FALSE,TRUE,,,2017-03-11 02:45:31.300268+00,2017-03-11 02:45:31.300268+00,,-31.676238,Desiree Dance academy sizzle,,,{},Public School,,,"16 Walyunga Boulevard, CLARKSON WA 6030",Burns Beach,Clarkson Community High School,Burns Beach,WA
"sauasage in buns, drinks, cake stall, coffee cart",115.80181,FALSE,FALSE,TRUE,TRUE,,,2017-03-09 13:57:18.125583+00,2017-03-09 13:57:18.125583+00,,-32.02521,Attadale Primary School,,User-Submitted,"{""has_coffee"":true}",Public School,,,"47 Wichmann Road, ATTADALE WA 6156",Bicton,Attadale Primary School,Bicton,WA
sausage sizzle,115.9227,FALSE,FALSE,FALSE,TRUE,,,2017-03-10 12:29:33.989277+00,2017-03-09 12:20:24.819604+00,,-31.94426,year 6 fundraiser ,,"Facebook, User-Submitted",{},Public School,,,"213 Great Eastern Highway, BELMONT WA 6104",Belmont,Belmont Primary School,Belmont,WA
"sausages, drinks, cakes and lollies",115.637798,FALSE,FALSE,TRUE,TRUE,,,2017-03-11 02:19:02.020497+00,2017-03-08 14:00:58.753496+00,,-33.333161,BPS fundraiser,,User-submitted,{},Pre-School,,,"Lovegrove Avenue, BUNBURY WA 6230",Bunbury,Bunbury Pre-Primary Centre,Bunbury,WA
,115.65233,FALSE,FALSE,FALSE,TRUE,,,2017-03-11 05:37:36.47759+00,2017-03-11 05:37:36.47759+00,,-33.33466,,,Twitter,{},Public School,,,"Allen Street, EAST BUNBURY WA 6230",Bunbury,Cooinda Primary School,Bunbury,WA
,115.94483,FALSE,FALSE,FALSE,FALSE,,,,,,-31.97187,,,,,Other,,,"CNR Robinson Avenue and Scott Street, CLOVERDALE WA 6105",Belmont,Belmont Park Tennis Club,Belmont,WA
