Polling Location Name,Venue Name,Type,Electorate 1,Electorate 2,Property Name,Flat Number,Street Number,Street Name,Street Type,Locality,Postcode,Melway/Vicroads Ref,Longitude,Latitude
Buangor,Buangor Primary School,Voting Centre,Ripon District,,,,26,School,Road,Buangor,3375,57 D7,143.17502,-37.36404
Colac East,Colac Primary School,Voting Centre,Polwarth District,,,,65,Murray,Street East,Colac,3250,92 B7,143.597629928231,-38.3369319889004
Coleraine,Coleraine Primary School,Voting Centre,Lowan District,,,,124,Church Street (access via McConchie,Street),Coleraine,3315,72C3,141.68404,-37.60184
Concongella,Concongella Primary School,Voting Centre,Ripon District,,,,61,Concongella-School,Road,Concongella,3380,56 F2,142.82232,-37.04956
Hamilton North,Hamilton North Primary School,Voting Centre,Lowan District,,,,,Andrews,Street,Hamilton,3300,72H5,141.99515000008,-37.7264599998745
Horsham North,Horsham North Primary School,Voting Centre,Lowan District,,,,2b,Rasmussen,Road,Horsham,3400,40 E5,142.204540000084,-36.697379999854
Horsham West,Horsham West Primary School,Voting Centre,Lowan District,,,,24,Hillary,Street,Horsham,3400,40 D5,142.179990033417,-36.7174200081877
Inglewood,Inglewood Primary School,Voting Centre,Ripon District,,,,77,Sullivan,Street,Inglewood,3517,594C3,143.870450000117,-36.5739399998515
Inverleigh,Inverleigh Primary School,Voting Centre,Polwarth District,,,,54,High,Street,Inverleigh,3321,93 B3,144.054690000121,-38.100939999882
Lake Bolac,Lake Bolac College,Voting Centre,Lowan District,,,,90,Montgomery,Street,Lake Bolac,3351,74F5,142.837900000097,-37.7202399998744
Marnoo,Marnoo Primary School,Voting Centre,Ripon District,,,,80,Newall,Street,Marnoo,3387,549S11,142.87035,-36.67685
Miners Rest,Miners Rest Primary School,Voting Centre,Ripon District,,,,,Dundas,Street,Miners Rest,3352,561 N1,143.795240000116,-37.4779099998696
Moonambel,Moonambel State Primary School,Voting Centre,Ripon District,,,,24,Humffray,Street,Moonambel,3478,42 G9,143.320740000106,-36.9898599998598
Newlyn,Newlyn Primary School,Voting Centre,Ripon District,,,,2701,Midland,Highway,Newlyn,3364,58 H8,143.98443,-37.41202
