Polling Location Name,Venue Name,Type,Electorate 1,Electorate 2,Property Name,Flat Number,Street Number,Street Name,Street Type,Locality,Postcode,Melway/Vicroads Ref,Longitude,Latitude
Toolleen,Toolleen Uniting Church Hall,Voting Centre,Euroa District,,,,,Toolleen-Cornella,Road,Toolleen,3551,45 C5,144.685156000134,-36.7195079998544
Boronia East,Boronia  Church of Christ,Voting Centre,Bayswater District,,,,corner,Allandale and Boronia,Roads,Boronia,3155,65 A9,145.289198000146,-37.8624729998772
Gisborne South,Gisborne Secondary College,Voting Centre,Macedon District,,,,95,Melton,Road,Gisborne,3437,678 B6,144.584770000132,-37.49810999987
Moreland,Moreland Primary School,Voting Centre,Brunswick District,,,,157-163,"Moreland Road, corner",Blair and,"De Carle Streets, Moreland",3058,29 H4,144.966349652518,-37.7554605967113
Guthrie Street,Guthrie Street Primary School,Voting Centre,Shepparton District,,,,,Guthrie,Street,Shepparton,3630,675 N1,145.390970000148,-36.398499999848
Rosanna,Rosanna Primary School,Voting Centre,Ivanhoe District,,,,,Grandview,Grove,Rosanna,3084,19 K10,145.063415000141,-37.7352029998747
Jobs Gully,Eaglehawk Secondary College,Voting Centre,Bendigo East District,,,,1,Reserve,Street,Eaglehawk,3556,603 P9,144.262690000125,-36.7202599998544
Daylesford,Daylesford Primary School,Voting Centre,Macedon District,,,,102-128,Vincent,Street,Daylesford,3460,582 E10,144.14156,-37.3451
Melbourne,St Michael's Uniting Church,Voting Centre,Melbourne District,,,,120,Collins,Street,Melbourne,3000,2FG3,144.969222186562,-37.8143400759587
Civic Square,Keystone Hall,Voting Centre,Croydon District,,,,9,Civic,Square,Croydon,3136,50K4,145.283273700146,-37.8008594082093
Carrum Downs,Carrum Downs Secondary College,Voting Centre,Carrum District,,,,263,McCormicks,Road,Carrum Downs,3201,100 K1,145.197436659268,-38.0949681794589
Swan Hill West,Swan Hill Primary School,Voting Centre,Murray Plains District,,,,123,Gray,Street,Swan Hill,3585,14 A7,143.543250000111,-35.3469099998269
Bayswater North,Bayswater North Primary School,Voting Centre,Bayswater District,,,,,Stuart,Street,Bayswater,3153,51 C12,145.295081000146,-37.8285669998766
Upfield,Dallas Brooks Community Primary School,Voting Centre,Broadmeadows District,,,,26-36,King,Street,Dallas,3047,7 C4,144.943282124733,-37.6697772693468
Roxburgh Homestead,Roxburgh Homestead Primary School,Voting Centre,Broadmeadows District,Yuroke District,McPherson Boulevard,,,(access via Raven Hill Boulevard),,Roxburgh Park,3064,179 G6,144.916368258472,-37.632184258206
Streeton,Streeton Primary  School,Voting Centre,Bundoora District,Ivanhoe District,,,209,Yallambie,Road,Yallambie,3085,20 J7,145.101357640846,-37.7215001764427
Bell,Bell Primary School,Voting Centre,Northcote District,Preston District,,,78a,Oakover Road (access via Scotia,Road),Preston,3072,30 D2,144.99035485216,-37.7469484801553
Barwon Heads,Barwon Heads Primary School,Voting Centre,Bellarine District,,,,,Golf Links,Road,Barwon Heads,3227,497 A4,144.485599549418,-38.2812458002365
Benambra,Benambra Public Hall,Voting Centre,Gippsland East District,,,,,Gibbo,Street,Benambra,3900,VR 51 C9,147.703784210034,-36.9555294237079
Taggerty,Taggerty  Hall,Voting Centre,Eildon District,,,,5,Taggerty-Thornton,Road,Taggerty,3714,62 D7,145.712381700154,-37.3210775081998
Glenorden,Wyndham Park Primary School,Voting Centre,Werribee District,,,,59-77,Kookaburra,Avenue,Werribee,3030,206 C3,144.676891000134,-37.8838549998777
Montrose South,Billanook Primary School,Voting Centre,Monbulk District,,,,,corner Sheffield Road and Taruna,Rise,Montrose,3765,52 B11,145.338799894502,-37.8251537943774
Deer Park West,Deer Park West Primary School,Voting Centre,Kororoit District,,,,,Quinn,Street,Deer Park,3023,25 C9,144.765220844735,-37.771632865567
Dunolly,Dunolly Senior Citizens Clubrooms,Voting Centre,Ripon District,,,,21,Bull,Street,Dunolly,3472,43D7,143.731893000115,-36.8581819998572
Kerang North,Kerang Technical High School (Thornely Hall),Voting Centre,Murray Plains District,,,,48,Murray,Street,Kerang,3579,20 G5,143.913800000118,-35.7256499998345
Redan Central,Betty Day Centre,Voting Centre,Prahran District,,,,67,Argyle,Street,St Kilda,3182,2P F6,144.98743200014,-37.8629299998773
Hampton,Hampton Primary School,Voting Centre,Brighton District,Sandringham District,,,528,Hampton,Street,Hampton,3188,76 G5,145.00404700014,-37.9336489998787
Swan Hill,Swan Hill Anglican Function Centre,Voting Centre,Murray Plains District,,,,,Splatt,Street,Swan Hill,3585,14 A7,143.556403000111,-35.3397099998268
Aspendale Gardens,Aspendale Gardens Primary School,Voting Centre,Mordialloc District,Keysborough District,,,96,Kearney Drive (Access via Kerr Crescent),,Aspendale Gardens,3195,93 B5,145.11571968997,-38.0231369499065
Bruthen,Bruthen Mechanics Hall,Voting Centre,Gippsland East District,,,,49,Main,Street,Bruthen,3885,686 F10,147.831815175063,-37.7073010340506
Canterbury Gardens,The Basin Primary School,Voting Centre,Bayswater District,,,,corner,Mountain Highway and Liverpool,Road,The Basin,3154,65 F6,145.309641,-37.849794
Lavers Hill,Lavers Hill Public Hall,Voting Centre,Polwarth District,,,,47,Great Ocean,Road,Lavers Hill,3238,100 H4,143.387351,-38.682731
Britannia,St Patrick's Catholic Primary School,Voting Centre,Geelong District,,,,11,Petrel,Street,Geelong West,3218,441 J12,144.34625440846,-38.1350435248827
Camberwell,Camberwell Primary School,Voting Centre,Hawthorn District,,,,290,Camberwell Road (access via Reserve,Road),Camberwell,3124,59 J1,145.058663037899,-37.8335873327678
The Patch,The Patch Primary School,Voting Centre,Monbulk District,,,,53,Kallista-Emerald,Road,The Patch,3792,124 E5,145.393752000148,-37.8918549998778
Footscray,Gilmore Girls College,Voting Centre,Footscray District,,,,298,Barkly,Street,Footscray,3011,2S D7,144.894890000138,-37.799099999876
Cobains,Cobains Primary School,Voting Centre,Gippsland East District,,,,3,Crofts,Road,Cobains,3851,99 D3,147.132280000183,-38.0747899998815
Caulfield East,Glen Eira College,Voting Centre,Caulfield District,,,,76,Booran,Road,Caulfield East,3162,68 E3,145.037964000141,-37.8851999998777
Heatherhill,Heatherhill Primary School,Voting Centre,Keysborough District,,,,959,Heatherton,Road,Springvale,3171,89 B1,145.15837151242,-37.9620512452782
Berwick South,Brentwood Park Primary School,Voting Centre,Narre Warren South District,,,,,Bemersyde,Drive,Berwick,3806,131 D1,145.346428000147,-38.052433999881
Doveton West,Holy Family Catholic Primary School,Voting Centre,Dandenong District,,,,100,Power,Road,Doveton,3177,90 K8,145.238575368163,-37.9903575386031
Eltham North,Eltham North Primary School,Voting Centre,Eltham District,,,,35-47,Wattletree,Road,Eltham North,3095,21 K1,145.150920000143,-37.699579999874
Glengala South,Sunshine Special Development School,Voting Centre,Footscray District,,,,,Ivory Court (access via Mounsey,Street),Sunshine West,3020,40 E5,144.819889000136,-37.8034349998761
Ceres,Ceres Temperance Hall,Voting Centre,South Barwon District,,,,40a,McCann,Street,Ceres,3221,450 C10,144.276755916792,-38.1703058915501
Preston East,The Pavilion,Voting Centre,Preston District,,,,1-3,Sylvester,Grove,Preston,3072,18 K11,145.01815092514,-37.7379950665414
Mount Ridley,Mount Ridley P-12 College,Voting Centre,Yuroke District,,,,2-30,Hampton,Street,Craigieburn,3064,386 J4,144.924236184439,-37.5794392468439
Strathmore North,Strathmore North Primary School,Voting Centre,Essendon District,Pascoe Vale District,,,,Mascoma,Street,Strathmore,3041,16 G8,144.916446000138,-37.7246839998745
Taylors Hill,Taylors Hill Primary School,Voting Centre,Sydenham District,,,,corner,Loddon Drive and Park,Lane,Taylors Hill,3037,13 B5,144.759823000135,-37.7166189998743
St Albans Park,Whittington Senior Citizens Club,Voting Centre,Geelong District,,,,50,Westmoreland,Street,St Albans Park,3219,466 J1,144.387989575128,-38.1831052998837
Torrumbarry,Torrumbarry Public Hall,Voting Centre,Murray Plains District,,,,,Murray Valley,Highway,Torrumbarry,3562,31 A2,144.51438345013,-36.0282417415072
Thornton,Thornton Memorial Hall,Voting Centre,Eildon District,,,,1335,Taggerty-Thornton,Road,Thornton,3712,62 E6,145.797291000156,-37.2575369998652
Somerville West,Somerville Rise Primary School,Voting Centre,Hastings District,,,,,Blacks Camp,Road,Somerville,3912,148 D2,145.167750000143,-38.2300299998846
Lilydale Heights,Lilydale Heights College,Voting Centre,Evelyn District,,,,17,Nelson,Road,Lilydale,3140,38 C2,145.341471760316,-37.744883125826
Campbells Creek,Campbells Creek Primary School,Voting Centre,Bendigo West District,,,,127-133,Main,Road,Campbells Creek,3451,59 E3,144.204252,-37.092786
Ballam Park,McClelland College,Voting Centre,Frankston District,,,,31,Belar Avenue (enter via Alexander,Crescent),Frankston,3200,103 B3,145.161623116954,-38.1461177665772
Elwood,St Columba's Catholic School and Church,Voting Centre,Brighton District,,,,24,Glen Huntly,Road,Elwood,3184,67 B3,144.98178100014,-37.8823099998776
Pakenham Hills,Pakenham Hills Primary School,Voting Centre,Gembrook District,,,,15,Kennedy,Road,Pakenham,3810,317 H4,145.495831913803,-38.06206476861
Taylors Lakes,Taylors Lakes Primary School,Voting Centre,Sydenham District,,,,,Chichester,Drive,Taylors Lakes,3038,13 J3,144.793223000136,-37.7092929998742
Dumbalk,Dumbalk Public Hall,Voting Centre,Gippsland South District,,,,,Farmers,Road,Dumbalk,3956,103 B2,146.094265374323,-38.5332077012251
Knox,St Joseph's Primary School Boronia,Voting Centre,Bayswater District,,,,212,Boronia,Road,Boronia,3155,64-H9,145.275768350146,-37.8620507832106
Malvern,Malvern Central School,Voting Centre,Malvern District,,,,,Spring,Road,Malvern,3144,59 D7,145.034701000141,-37.8556699998771
Yaapeet,Yaapeet Primary School,Voting Centre,Mildura District,,,,4,Woods,Street,Yaapeet,3424,17B6,142.057344896987,-35.7681798692957
Newport East,Home Road Kindergarten,Voting Centre,Williamstown District,,,,44,Home,Road,Newport,3015,56 A3,144.887867000138,-37.8412059998768
Taylors Lakes North,Overnewton Anglican Community College - Taylors Lakes Campus,Voting Centre,Sydenham District,,,,39-57,Robertsons,Road,Taylors Lakes,3038,3 E10,144.774786000135,-37.6890099998738
Bell Park,Bell Park North Primary School,Voting Centre,Lara District,,,,16,Barton,Street,Bell Park,3215,441 G4,144.33584910846,-38.1059741748821
Mont Albert,Mont Albert Primary School,Voting Centre,Box Hill District,,,,,Barloa,Road,Mont Albert,3127,46 J8,145.103295484393,-37.8127345807437
Harrietville,Harrietville Community Hall,Voting Centre,Ovens Valley District,,,,,Great Alpine,Road,Harrietville,3741,662 C3,147.06340910952,-36.8917470628024
Cooma,Cooma Uniting Church Hall,Voting Centre,Euroa District,,,,,Kyabram-Cooma,Road,Cooma,3616,32 C8,145.06851496729,-36.4142976337935
Haven,Haven Memorial Hall,Voting Centre,Lowan District,,,,4378,Henty,Highway,Haven,3401,40 E6,142.194179327193,-36.7569402856242
Box Hill Central,Wesley Hall,Voting Centre,Box Hill District,,,,2-6,Oxford,Street,Box Hill,3128,75A F6,145.122050137161,-37.8216481417735
Spring Valley,Spring Parks Primary School - Valley Campus,Voting Centre,Clarinda District,,,,27-39,Clarke,Road,Springvale South,3172,88 G1,145.139080000143,-37.9637799998793
Arthurs Creek,Arthurs Creek Primary School,Voting Centre,Eildon District,,,,900,Arthurs Creek,Road,Arthurs Creek,3099,393 B4,145.202500000144,-37.5789999998716
Laurimar,Laurimar Primary School,Voting Centre,Yan Yean District,,,,1,Armidale,Road,Laurimar,3754,391 E6,145.128274248516,-37.5854516737021
Bimbadeen,Bimbadeen Heights Primary School,Voting Centre,Evelyn District,,,,,Hayrick,Lane,Mooroolbark,3138,37 J9,145.321140000146,-37.7737599998755
Sussex Heights,Mount Waverley Heights Primary School,Voting Centre,Oakleigh District,,,,36,Solomon,Street,Mount Waverley,3149,70 A4,145.110570952792,-37.8888626725113
Coolaroo,Coolaroo South Primary School,Voting Centre,Broadmeadows District,,,,,Bushfield,Crescent,Coolaroo,3048,6 K2,144.930491000139,-37.6616309998732
Dimboola,Dimboola Uniting Church,Voting Centre,Lowan District,,,,17-19,Normanby,Street,Dimboola,3414,546 G9,142.026189000081,-36.451126999849
Great Western,Great Western Primary School,Voting Centre,Ripon District,,,,,Stephenson,Street,Great Western,3374,56 F4,142.851730216764,-37.148510449863
Minyip,Minyip Memorial Hall,Voting Centre,Lowan District,,,,52,Main,Street,Minyip,3392,549S2,142.586350000092,-36.4601249998492
Wandiligong,Wandiligong Primary School,Voting Centre,Ovens Valley District,,,,119,School,Road,Wandiligong,3744,49 H6,146.98292000018,-36.7688599998554
Longwarry,Longwarry Public Hall,Voting Centre,Narracan District,,,,14,Kennedy,Street,Longwarry,3816,707 O11,145.767716000155,-38.1138659998823
Toorak Central,Toorak Primary School,Voting Centre,Prahran District,Malvern District,,,,Canterbury,Road,Toorak,3142,2M F8,145.00971300014,-37.8449069998769
Black Rock,Black Rock Primary School,Voting Centre,Sandringham District,,,,71,Arkaringa,Crescent,Black Rock,3193,86 A3,145.021640158474,-37.9698826082127
Speed,Speed Recreation Centre (Golf Club),Voting Centre,Mildura District,,,,,Golf Course,Road,Speed,3488,547 S2,142.439753216755,-35.3984960581613
Bellbridge East,Bellbridge Primary School,Voting Centre,Tarneit District,,,,120,Bellbridge Drive (access via Matlock,Street),Hoppers Crossing,3029,203 A12,144.710780000134,-37.8710799998774
Emerald,Emerald Primary School,Voting Centre,Gembrook District,,,,,Heroes,Avenue,Emerald,3782,127 F5,145.441649595774,-37.9334776111155
Moe,Albert Street Primary School,Voting Centre,Narracan District,Morwell District,,,40,Albert Street (access via Anzac,Street),Moe,3825,700 F4,146.264350000165,-38.1747099998835
Newport,Newport Lakes Primary School,Voting Centre,Williamstown District,,,,,Elizabeth,Street,Newport,3015,55 J3,144.878535574528,-37.838149903912
Merrilands,William Ruthven Secondary College,Voting Centre,Preston District,Thomastown District,,,60,Merrilands,Road,Reservoir,3073,8 G12,145.00300000014,-37.6965299998739
Cobden,Cobden Civic Hall,Voting Centre,Polwarth District,,,,53-55,Victoria,Street,Cobden,3266,91 C7,143.077067750102,-38.3270434832199
Sparrowhawk,Long Gully Neighbourhood Centre,Voting Centre,Bendigo West District,,,,54,Derwent,Drive,Long Gully,3550,44 F5,144.253744,-36.749591
Malmsbury,Malmsbury Primary School,Voting Centre,Macedon District,,,,28,Cameron,Street,Malmsbury,3446,631 P10,144.386940000128,-37.1873199998637
Lyrebird,Lyrebird Community Centre,Voting Centre,Carrum District,,,,203,Lyrebird,Drive,Carrum Downs,3201,100 H3,145.187184,-38.102963
Mill Park,Mill Park Primary School,Voting Centre,Bundoora District,,,,,Blamey,Avenue,Mill Park,3082,10 A6,145.065819841355,-37.6745603770699
Elsternwick North,12th Caulfield Scout Hall,Voting Centre,Caulfield District,,,,1,Beavis,Street,Elsternwick,3185,67 H3,145.00723000014,-37.8847549998777
Hyde Park,1st Kew Scout Hall,Voting Centre,Kew District,,,,corner,Willsmere Road and Kellett,Grove,Kew,3101,45 E2,145.039688084866,-37.7916105128676
Caulfield South,4th Caulfield Scout Hall,Voting Centre,Caulfield District,,,,1a,Birch Street (access via Hawthorn Road),,Caulfield South,3162,68 A5,145.02146500014,-37.8926739998779
Bridport,Albert Park Primary School,Voting Centre,Albert Park District,,,,,Bridport Street (access via Cardigan,Place),Albert Park,3206,2J K7,144.952217705884,-37.8414432841396
Burwood,Alfred Road Kindergarten,Voting Centre,Burwood District,,,,48a,Alfred,Road,Glen Iris,3146,60 F7,145.088895174093,-37.8544625693755
Ashwood,Ashwood High School,Voting Centre,Burwood District,,,,50,Vannam Drive,Block B,Ashwood,3147,60 K10,145.103860428558,-37.8643314960341
Auburn North,Auburn Primary School,Voting Centre,Hawthorn District,,,,51,Rathmines,Road,Hawthorn East,3123,45 G10,145.050392000141,-37.8196189998764
Auburn South,Auburn South Primary School,Voting Centre,Hawthorn District,,,,419,Tooronga Road (access via Burgess,Street),Hawthorn East,3123,59 F3,145.044784000141,-37.8391719998768
Balwyn Central,Balwyn Church of Christ Hall,Voting Centre,Kew District,,,,corner,Whitehorse and Cherry,Roads,Balwyn,3103,46 D8,145.079996000142,-37.8129499998763
Balwyn North,Balwyn North Primary School,Voting Centre,Kew District,,,,,94 Maud,Street,Balwyn North,3104,46 C3,145.076826000142,-37.7964879998759
Beaumaris North,Beaumaris North Primary School,Voting Centre,Sandringham District,,,,,McDonald,Street,Beaumaris,3193,86 D4,145.037348673849,-37.9739063852214
Balwyn North West,Belle Vue Primary School,Voting Centre,Kew District,,,,20,Highview,Road,Balwyn North,3104,32 D11,145.079131000142,-37.7818349998756
Balwyn West,Belmore School,Voting Centre,Kew District,,,,49,Stroud,Street,Balwyn,3103,46 D5,145.081180000142,-37.8041659998761
Black Rock South,Black Rock Uniting Church Hall,Voting Centre,Sandringham District,,,,corner,Balcombe Road and Central,Avenue,Black Rock,3193,86 A4,145.02202700014,-37.9765509998795
Brighton Beach,Brighton Beach Primary School,Voting Centre,Brighton District,,,,19,Windermere,Crescent,Brighton,3186,76 E1,144.996035037758,-37.9219049837138
Brighton,Brighton Primary School,Voting Centre,Brighton District,,,,,Wilson,Street,Brighton,3186,67 F11,145.001377138273,-37.9122971206584
Brighton High,Brighton Secondary College,Voting Centre,Brighton District,,,,120,Marriage,Road,Brighton East,3187,76 K1,145.019597436143,-37.9205080197404
Studley Park,Burke Hall (Xavier Prep School),Voting Centre,Kew District,,,,2,Nolan,Avenue,Kew,3101,2D H11,145.014567416006,-37.8056391186708
Camberwell Middle,Camberwell Church of Christ,Voting Centre,Hawthorn District,,,,620,Riversdale,Road,Camberwell,3124,60 A1,145.065958000141,-37.8325959998767
Canterbury South,Camberwell High School,Voting Centre,Hawthorn District,,,,,Prospect Hill,Road,Canterbury,3126,46 B12,145.072788118869,-37.8307967160853
Camberwell South,Camberwell South Primary School,Voting Centre,Hawthorn District,,,,,Peate,Avenue,Glen Iris,3146,59 K5,145.062605837136,-37.8479297970858
Canterbury,Canterbury Girls Secondary College,Voting Centre,Kew District,Hawthorn District,,,,Irilbarra,Road,Canterbury,3126,46 B10,145.070281156568,-37.8199141479422
Carlton Central,Carlton North Primary School,Voting Centre,Melbourne District,,,,,Lee,Street,Carlton North,3054,2B J3,144.973102000139,-37.7909819998758
Caulfield North,Caulfield Indonesian Uniting Church Hall,Voting Centre,Caulfield District,,,,158,Balaclava,Road,Caulfield North,3161,58 K12,145.01937000014,-37.8717079998774
Bundeera,Caulfield South Primary School,Voting Centre,Caulfield District,,,,24,Bundeera,Road,Caulfield South,3162,68 C6,145.030422000141,-37.8955339998779
Cheltenham East,Cheltenham East Primary School,Voting Centre,Clarinda District,Mordialloc District,,,,Silver,Street,Cheltenham,3192,87 A1,145.068350000141,-37.9652599998793
Cheltenham,Cheltenham Primary School,Voting Centre,Sandringham District,,,,231,Charman,Road,Cheltenham,3192,86 H2,145.054630000141,-37.9686099998794
Coburn,Coburn Primary School,Voting Centre,Melton District,,,,24-42,Richard,Road,Melton South,3338,336 J12,144.572494588791,-37.6939834499845
St Kilda South,Cora Graves Centre,Voting Centre,Albert Park District,,,,38,Blessington,Street,St Kilda,3182,2P C10,144.982114818465,-37.8696918775602
Alamein,Craig Family Centre,Voting Centre,Burwood District,,,,7,Samarinda,Avenue,Ashburton,3147,60 E10,145.084077000142,-37.8666749998773
Dendy,Dendy Scout Hall,Voting Centre,Brighton District,,,,210,Dendy,Street,Brighton East,3187,76 K2,145.01586400014,-37.9223669998784
Elsternwick South,Elsternwick Primary School,Voting Centre,Brighton District,,,,44-48,Murphy,Street,Brighton,3186,67 E5,144.998638242028,-37.891484796969
Elwood North,Elwood Primary School,Voting Centre,Brighton District,,,,corner,Mitford Street and Poets Grove,,Elwood,3184,67 C2,144.987787009828,-37.8819637810369
Glenferrie South,Erasmus School,Voting Centre,Hawthorn District,,,,40,Lisson,Grove,Hawthorn,3122,45 C12,145.031465060133,-37.8272147358226
Sandridge,Fishermens Bend Community Hall,Voting Centre,Albert Park District,,,,corner,Dunstan Parade and Centre,Avenue,Port Melbourne,3207,56 H2,144.920433000138,-37.8367019998767
Landcox,Gardenvale Primary School - Senior School Campus,Voting Centre,Brighton District,,,,66,Landcox,Street,Brighton East,3187,67 K8,145.01579700014,-37.9025849998781
Cotham,Genazzano College,Voting Centre,Kew District,,,,301,Cotham Road (access via Mont Victor,Road),Kew,3101,45 J7,145.057102914326,-37.8086062826452
Glen Eira,Glen Eira Town Hall - Auditorium,Voting Centre,Caulfield District,,,,416-428,Glen Eira,Road,Caulfield,3162,68 A2,145.02232400014,-37.8800679998776
Glenferrie Central,Glenferrie Primary School,Voting Centre,Hawthorn District,,,,78-98,Manningtree,Road,Hawthorn,3122,45 D11,145.033551000141,-37.8243929998765
Prahran,Grattan Gardens Community Centre,Voting Centre,Prahran District,,,,40,Grattan,Street,Prahran,3181,2L H10,144.99158500014,-37.8471239998769
Greythorn,Greythorn Primary School,Voting Centre,Kew District,Box Hill District,,,,Reading,Avenue,Balwyn North,3104,46 H5,145.095685385127,-37.802221124973
Hampton Central,Hampton Uniting Church Hall,Voting Centre,Sandringham District,,,,corner,Service and Deakin,Streets,Hampton,3188,76 G6,145.00462200014,-37.9395189998788
Auburn,Hawthorn Citizens Youth Club,Voting Centre,Hawthorn District,,,,241,Auburn,Road,Hawthorn,3122,45 F12,145.044201000141,-37.8286799998766
Highett South,Highett Neighbourhood Community House,Voting Centre,Sandringham District,,,,2,Livingston,Street,Highett,3190,77 E8,145.037925838708,-37.9476645027669
Ormond,Katandra School,Voting Centre,Caulfield District,,,,2,Walsh,Street,Ormond,3204,68 E8,145.040621000141,-37.901964999878
South Kensington,Kensington Community Recreation Centre,Voting Centre,Melbourne District,,,,Corner,Kensington Road and Altona,Street,Kensington,3031,2T G6,144.924499000138,-37.7968299998759
Kensington,Kensington Primary School,Voting Centre,Melbourne District,,,,62-74,McCracken,Street,Kensington,3031,2T J4,144.927379000139,-37.7925629998759
Kew North,Kew East Primary School,Voting Centre,Kew District,,,,35,Kitchener,Street,Kew East,3102,45 G3,145.049088898444,-37.7963309848759
Kew East,Kew East Uniting Church Hall,Voting Centre,Kew District,,,,142,Normanby,Road,Kew East,3102,45 J3,145.056165000141,-37.797609999876
Kew,Kew Primary School,Voting Centre,Kew District,,,,,Pakington,Street,Kew,3101,45 D5,145.033260750141,-37.8041467599588
Mentone West,Mentone Girls Secondary College,Voting Centre,Sandringham District,,,,175,Balcombe Road (enter,Gate 1),Mentone,3194,86 H6,145.054474854212,-37.9812032646746
Middle Park,Middle Park Bowling Club,Voting Centre,Albert Park District,,,,,Canterbury Road (access via Armstrong,Street),Middle Park,3206,2K F10,144.964948576078,-37.8486668846086
Kerferd South,Middle Park Primary School,Voting Centre,Albert Park District,,,,,Richardson Street (access via Mills,Street),Middle Park,3206,2K B10,144.957426648431,-37.8480151379211
Hotham Hill,North Melbourne Community Centre,Voting Centre,Melbourne District,,,,49-53,Buncle,Street,North Melbourne,3051,2A D4,144.940073870416,-37.7931361937074
North Melbourne,North Melbourne Primary School,Voting Centre,Melbourne District,,,,210,Errol,Street,North Melbourne,3501,2A J7,144.950803730307,-37.7986311246925
Deepdene,Our Lady of Good Counsel,Voting Centre,Kew District,,,,12,Whitehorse,Road,Deepdene,3103,45 K7,145.062706000141,-37.8109929998762
Orrong,Our Lady of Lourdes School,Voting Centre,Prahran District,,,,7,Wynnstay,Road,East Prahran,3181,2M F12,145.00948100014,-37.852296999877
Prahran East,Prahan RSL Memorial Hall,Voting Centre,Prahran District,,,,301,High,Street,Prahran,3181,2M A12,144.99821200014,-37.852227999877
Ripponlea East,Ripponlea Primary School,Voting Centre,Caulfield District,,,,,Carrington,Grove,St Kilda East,3183,67 G1,145.00512400014,-37.8747059998775
Box Hill South,Roberts McCubbin Primary School,Voting Centre,Burwood District,,,,corner,Birdwood and Devon,Streets,Box Hill South,3128,61 D2,145.125714225851,-37.8345739114125
Sandringham North,Sandringham Primary School,Voting Centre,Sandringham District,,,,31,Bamfield,Street,Sandringham,3191,76 H8,145.00890600014,-37.9474479998789
Holloway,Sandringham Secondary College,Voting Centre,Sandringham District,,,,11,Holloway,Road,Sandringham,3191,77 A11,145.02438400014,-37.9565099998791
Highett,Sandringham Secondary College - Highett Campus,Voting Centre,Sandringham District,,,,356,Bluff,Road,Highett,3190,77 A9,145.02174300014,-37.951154999879
Hampton East,Sandringham Youth Club,Voting Centre,Brighton District,,,,219,Thomas,Street,Hampton,3188,76 K6,145.017771903021,-37.9399470917697
Glen Iris South,Solway Primary School,Voting Centre,Burwood District,,,,,Winton,Road,Ashburton,3147,60 B12,145.073330000141,-37.8724989998775
South Melbourne,South Melbourne Town Hall,Voting Centre,Albert Park District,,,,,"Auditorium, 208 Bank",Street,South Melbourne,3205,2K C2,144.959708000139,-37.8342019998767
Hawksburn Central,South Yarra Community Baptist Church,Voting Centre,Prahran District,,,,12,Surrey,Road,South Yarra,3141,2M A9,144.99837700014,-37.8461169998769
Middle Brighton,St Andrew's Hall,Voting Centre,Brighton District,,,,19-21,St Andrews,Street,Brighton,3186,67 D11,144.99275900014,-37.9120789998782
Mentone,St Augustine's Church Hall,Voting Centre,Sandringham District,Mordialloc District,,,90-92,Como,Parade West,Mentone,3194,87 A7,145.067616000141,-37.9860589998797
Burwood Central,St Benedict's Primary School Hall,Voting Centre,Burwood District,,,,3-9,Central,Avenue,Burwood,3125,60 H6,145.097301000142,-37.849421999877
Highfield,St Dominic's Parish Primary School,Voting Centre,Hawthorn District,Burwood District,,,145,Highfield,Road,Camberwell,3124,60 E3,145.083502000142,-37.8386799998768
St Kilda Park,St Kilda Park Primary School,Voting Centre,Albert Park District,,,,68,Fitzroy,Street,St Kilda,3182,2P A3,144.97744100014,-37.8579699998772
St Kilda,St Kilda Town Hall,Voting Centre,Caulfield District,Albert Park District,,,corner,Carlisle Street and Brighton,Road,St Kilda,3182,2P F9,144.98840400014,-37.8685519998774
Glen Iris,St Oswald's Church Hall,Voting Centre,Burwood District,Hawthorn District,,,100,High,Street,Glen Iris,3146,60 B9,145.070808000141,-37.8627319998773
Hawksburn,Toorak - South Yarra Library,Voting Centre,Prahran District,,,,338,Toorak,Road,South Yarra,3141,2M A6,144.99950100014,-37.8402129998768
Kew South,Trinity Grammar School,Voting Centre,Kew District,,,,40,Charles,Street,Kew,3101,45 D7,145.034178354216,-37.8108715259952
Parkville,University High School - Performance Centre,Voting Centre,Melbourne District,,,,77,Story,Street,Parkville,3052,2B A6,144.955618061447,-37.7971320632327
Elsternwick,Wesley College Elsternwick Campus,Voting Centre,Caulfield District,,,,5,Gladstone Parade (access via Carlingford,Street),Elsternwick,3185,67 H5,145.00970900014,-37.8896439998778
Chatham South,Youth With A Mission,Voting Centre,Burwood District,Hawthorn District,,,1,Kent,Road,Surrey Hills,3127,46 F12,145.090117000142,-37.8275909998766
Carnegie North,1st Malvern Scout Hall,Voting Centre,Malvern District,,,,,Cooinda Place (access via Belgrave,Road),Malvern East,3145,69 A2,145.067524000141,-37.8801119998776
Armadale,Armadale Primary School,Voting Centre,Malvern District,,,,9-23,Densham,Road,Armadale,3143,2M J12,145.01777009789,-37.8522106027003
Malvern Lower,Lauriston Girls School,Voting Centre,Malvern District,,,,38,Huntingtower,Road,Armadale,3143,59 B6,145.02520400014,-37.852268999877
Malvern East,Lloyd Street Primary School,Voting Centre,Malvern District,,,,corner,Lloyd Street and Rothesay Avenue,,Malvern East,3144,59 J12,145.056758000141,-37.8724769998774
Malvern South,Malvern Primary School,Voting Centre,Malvern District,,,,17,Tooronga,Road,Malvern,3144,59 E12,145.037924000141,-37.8710309998774
Chadstone,Malvern Valley Primary School,Voting Centre,Malvern District,,,,1,Abbotsford,Avenue,Malvern East,3145,69 D2,145.081794000142,-37.8806169998776
