ec_id,Premise Name,Polling Place Name,Address,City,State,Postcode,Location Within Premise,Disabled Access,Premise Latitude,Premise Longitude,Division,Dual polling place,Vision impaired voting service
,Currie Town Hall,Currie Town Hall,"Cnr Meech & George Sts,",CURRIE,TAS,7256,supper room,With Assistance,-39.92984,143.85416,Braddon,,
,Nixon St Primary School,Nixon St Primary School,"60 Nixon St,",DEVONPORT,TAS,7310,gymnasium,With Assistance,-41.17252,146.33886,Braddon,,
,Reece High School,Reece High School,"41-43 Middle Rd,",DEVONPORT,TAS,7310,staff room,With Assistance,-41.18904,146.35208,Braddon,,
,St Johns Parish Hall,St Johns Parish Hall,"Fenton St,",DEVONPORT,TAS,7310,,With Assistance,-41.179,146.35829,Braddon,,Yes
,TasTafe,TasTafe,"20-36 Valley Rd,",DEVONPORT,TAS,7310,canteen,With Assistance,-41.18583,146.34549,Braddon,,
,Don Memorial Hall,Don Memorial Hall,"17 Forth Rd,",DON,TAS,7310,,With Assistance,-41.18256,146.31804,Braddon,,
,East Devonport Primary School,East Devonport Primary School,"19-31 Thomas St,",EAST DEVONPORT,TAS,7310,multipurpose room,With Assistance,-41.17836,146.37111,Braddon,,
,Edith Creek Primary School,Edith Creek Primary School,"1282 Trowutta Rd,",EDITH CREEK,TAS,7330,foyer,With Assistance,-40.96994,145.09329,Braddon,,
,Elliott Community Centre,Elliott Community Centre,"829 Murchison Hwy,",ELLIOTT,TAS,7325,main hall,None,-41.09211,145.78229,Braddon,,
,Forest Primary School,Forest Primary School,"422 Mengha Rd,",FOREST,TAS,7330,multipurpose room,With Assistance,-40.84865,145.24893,Braddon,,
,Forth Primary School,Forth Primary School,"45 Wilmot Rd,",FORTH,TAS,7310,multipurpose room,With Assistance,-41.1934,146.24928,Braddon,,
,Gawler Hall,Gawler Hall,"15 Top Gawler Rd,",GAWLER,TAS,7315,,With Assistance,-41.18548,146.16007,Braddon,,
,Grassy Club,Grassy Club,"Grassy Rd,",GRASSY,TAS,7256,main entertainment room,None,-40.04842,144.05795,Braddon,,
,Havenview Primary School,Havenview Primary School,"15 Marriott St,",HAVENVIEW,TAS,7320,multipurpose room/hall,With Assistance,-41.08346,145.91081,Braddon,,
,Blythe Heads Hall,Blythe Heads Hall,"1 Sice Ave,",HEYBRIDGE,TAS,7316,,With Assistance,-41.07515,145.98616,Braddon,,
,Highclere Community Centre,Highclere Community Centre,"1558 Ridgley Hwy,",HIGHCLERE,TAS,7321,front of hall,None,-41.19046,145.8061,Braddon,,
,Irishtown Sports Complex,Irishtown Sports Complex,"602 Irishtown Rd,",IRISHTOWN,TAS,7330,,None,-40.91220617,145.1442312,Braddon,,
,Latrobe Primary School,Latrobe Primary School,"23 Lewis St,",LATROBE,TAS,7307,"Enrichment Centre, Bradshaw St",With Assistance,-41.23912,146.41612,Braddon,,
,Marrawah Memorial Hall,Marrawah Memorial Hall,"844 Comeback Rd,",MARRAWAH,TAS,7330,,With Assistance,-40.92299,144.69693,Braddon,,
,Melrose Memorial Hall,Melrose Memorial Hall,"673 Melrose Rd,",MELROSE,TAS,7310,,With Assistance,-41.24155,146.28875,Braddon,,
,Montello Primary School,Montello Primary School,"83 Bird St,",MONTELLO,TAS,7320,hall,With Assistance,-41.05996,145.89764,Braddon,,
,Moorleah Community Centre,Moorleah Community Centre,"720 Preolenna Rd,",MOORLEAH,TAS,7321,main hall,With Assistance,-40.98099,145.61629,Braddon,,
,Moriarty Hall,Moriarty Hall,"1 Bonneys La,",MORIARTY,TAS,7307,,With Assistance,-41.217,146.48104,Braddon,,
,Natone Primary School,Natone Primary School,"100 Upper Natone Rd,",NATONE,TAS,7321,front entrance foyer,With Assistance,-41.17022,145.92209,Braddon,,
,North Motton Hall,North Motton Hall,"578 Preston Rd,",NORTH MOTTON,TAS,7315,,With Assistance,-41.20705,146.10952,Braddon,,
,Penguin Uniting Church Hall,Penguin Uniting Church Hall,"50 Main Rd,",PENGUIN,TAS,7316,,With Assistance,-41.11192,146.07072,Braddon,,
,Port Sorell Memorial Hall,Port Sorell Memorial Hall,"Cnr Darling and Meredith Sts,",PORT SORELL,TAS,7307,,With Assistance,-41.16525,146.5558,Braddon,,
,Preston Community Centre,Preston Community Centre,"1833 Preston Rd,",PRESTON,TAS,7315,office,With Assistance,-41.29604,146.06239,Braddon,,
,West Coast Community Services Hub,West Coast Community Services Hub,"Hunter St,",QUEENSTOWN,TAS,7467,large training room,None,-42.078921,145.556024,Braddon,,
,Riana Community Centre,Riana Community Centre,"1221 Pine Rd,",RIANA,TAS,7316,hall,None,-41.2015,145.99908,Braddon,,
,Ridgley Primary School,Ridgley Primary School,"904 Ridgley Hwy,",RIDGLEY,TAS,7321,multipurpose room,With Assistance,-41.13937,145.83787,Braddon,,
,Rocky Cape Public Hall,Rocky Cape Public Hall,"19074 Bass Hwy,",ROCKY CAPE,TAS,7321,supper room,With Assistance,-40.90489,145.48664,Braddon,,
,Romaine Park Primary School,Romaine Park Primary School,"Cnr Roslyn Ave and Mount St,",ROMAINE,TAS,7320,multipurpose room,With Assistance,-41.07761,145.90144,Braddon,,
,Rosebery Neighbourhood Centre,Rosebery Neighbourhood Centre,"8 Agnes St,",ROSEBERY,TAS,7470,"back room, entrance via carpark",With Assistance,-41.78006,145.53919,Braddon,,
,Sassafras Primary School,Sassafras Primary School,"50 School Rd,",SASSAFRAS,TAS,7307,gym/hall,With Assistance,-41.28689,146.50295,Braddon,,
,Hellyer College,Hellyer College,"41-43 Mooreville Rd,",SHOREWELL PARK,TAS,7320,Cafeteria K Block,None,-41.06122,145.88163,Braddon,,
,Sisters Beach Fire Station,Sisters Beach Fire Station,"Honeysuckle Ave,",SISTERS BEACH,TAS,7325,fire station office,None,-40.91818,145.56498,Braddon,,
,Myalla Community Centre,Myalla Community Centre,"Myalla Recreation Ground, 29 Myalla Rd,",SISTERS CREEK,TAS,7321,,None,-40.964713,145.573222,Braddon,,
,Smithton Primary School,Smithton Primary School,"27- 43 Grant St,",SMITHTON,TAS,7330,assembly hall,Full,-40.84289,145.12672,Braddon,,
,Somerset Primary School,Somerset Primary School,"30A Beaufort St,",SOMERSET,TAS,7322,multipurpose room,With Assistance,-41.03815,145.82063,Braddon,,
,South Riana Hall,South Riana Hall,"776 South Riana Rd,",SOUTH RIANA,TAS,7316,,With Assistance,-41.23446,145.97709,Braddon,,
,Sprent Primary School,Sprent Primary School,"1245 Castra Rd,",SPRENT,TAS,7315,main hall,With Assistance,-41.26221,146.15948,Braddon,,
,Spreyton Primary School,Spreyton Primary School,"1 Mersey Main Rd,",SPREYTON,TAS,7310,multipurpose room,With Assistance,-41.21202,146.34454,Braddon,,
,Stanley Primary School,Stanley Primary School,"Wilson St,",STANLEY,TAS,7330,multipurpose room,With Assistance,-40.7595,145.29099,Braddon,,
,Stowport Public Hall,Stowport Public Hall,"580 Stowport Rd,",STOWPORT,TAS,7321,main area,With Assistance,-41.11224,145.92863,Braddon,,
,Strahan Primary School,Strahan Primary School,"2 Bay St,",STRAHAN,TAS,7468,,With Assistance,-42.153392,145.320432,Braddon,,
,Sulphur Creek Hall,Sulphur Creek Hall,"310 Preservation Dr,",SULPHUR CREEK,TAS,7316,kitchen,With Assistance,-41.09328,146.02373,Braddon,,
,Tullah Community Hall,Tullah Community Hall,"Farrell St,",TULLAH,TAS,7321,,None,-41.737851,145.616967,Braddon,,
,Turners Beach Community Centre,Turners Beach Community Centre,"Henry St,",TURNERS BEACH,TAS,7315,main hall,With Assistance,-41.15871,146.2447,Braddon,,
,East Ulverstone Primary School,East Ulverstone Primary School,"18 Crawford St,",ULVERSTONE,TAS,7315,multipurpose room,With Assistance,-41.15494,146.19089,Braddon,,
,Ulverstone Secondary College,Ulverstone Secondary College,"38 Leven St,",ULVERSTONE,TAS,7315,multipurpose hall,With Assistance,-41.16199,146.17143,Braddon,,
,Ulverstone Senior Citizens Club,Ulverstone Senior Citizens Club,"16 King Edward St,",ULVERSTONE,TAS,7315,main area,With Assistance,-41.155037,146.171973,Braddon,,
,Waratah Municipal Chambers,Waratah Municipal Chambers,"12-14 Smith St,",WARATAH,TAS,7321,Council Chambers,With Assistance,-41.44462,145.53128,Braddon,,
,Andrews Creek Primary School,Andrews Creek Primary School,"20 Westwind Dr,",WESLEY VALE,TAS,7307,bottom classroom,With Assistance,-41.1887792,146.4562247,Braddon,,
,West Ulverstone Primary School,West Ulverstone Primary School,"34 Maud St,",WEST ULVERSTONE,TAS,7315,"hall, Josephine St Entrance",With Assistance,-41.14851,146.15899,Braddon,,
,Wivenhoe Campus Leighland Christian School,Wivenhoe Campus Leighland Christian School,"Stowport Rd,",WIVENHOE,TAS,7320,foyer area outside library,With Assistance,-41.06907,145.93613,Braddon,,
,Wynyard High School,Wynyard High School,"30 Church St,",WYNYARD,TAS,7325,student centre,With Assistance,-40.98684,145.71684,Braddon,,
,Wynyard Senior Citizens Clubrooms,Wynyard Senior Citizens Clubrooms,"28 Jackson St,",WYNYARD,TAS,7325,entrance foyer,With Assistance,-40.99088,145.72865,Braddon,,
,Yolla District High School,Yolla District High School,"School La,",YOLLA,TAS,7325,classroom D1,With Assistance,-41.12363,145.71977,Braddon,,
,Zeehan Primary School,Zeehan Primary School,"7 Belstead St,",ZEEHAN,TAS,7469,activity hall,With Assistance,-41.88794,145.33998,Braddon,,
,St Virgil's College,St Virgil's College,"195 Main Rd,",AUSTINS FERRY,TAS,7011,Edmund Rice Hall,None,-42.77386,147.25087,Clark,Yes,
,Albuera Street Primary School,Albuera Street Primary School,"Albuera St,",BATTERY POINT,TAS,7004,,None,-42.89108,147.32598,Clark,,
,St George's Church Hall,St George's Church Hall,"28 Cromwell St,",BATTERY POINT,TAS,7004,"Parish Hall, access from 30 Cromwell St",With Assistance,-42.89152,147.33268,Clark,,
,Chigwell Barn,Chigwell Barn,"10 Bucaan St,",CHIGWELL,TAS,7011,,With Assistance,-42.81133,147.24084,Clark,Yes,
,Austins Ferry Primary School,Austins Ferry Primary School,"16A Cammeray Rd,",CLAREMONT,TAS,7011,,Full,-42.78521,147.24012,Clark,Yes,
,Claremont Girl Guides Hall,Claremont Girl Guides Hall,"3 Boxhill Rd,",CLAREMONT,TAS,7011,,With Assistance,-42.79236,147.25595,Clark,Yes,
,Windermere Primary School,Windermere Primary School,"2 Cadbury Rd,",CLAREMONT,TAS,7011,hall/multipurpose room,Full,-42.79934,147.25846,Clark,Yes,
,Collinsvale Primary School,Collinsvale Primary School,"508 Collinsvale Rd,",COLLINSVALE,TAS,7012,general purpose room,With Assistance,-42.83696,147.19837,Clark,,
,Princes Street Primary School,Princes Street Primary School,"Randall St,",SANDY BAY,TAS,7005,"hall, Lord St entrance",With Assistance,-42.89913,147.31855,Clark,,
,Fern Tree Community Centre,Fern Tree Community Centre,"8 Stephenson Pl,",FERN TREE,TAS,7054,,With Assistance,-42.922346,147.260859,Clark,,
,Glenorchy Primary School,Glenorchy Primary School,"Kensington St,",GLENORCHY,TAS,7010,"gymnasium, access from Hull St",With Assistance,-42.830908,147.267619,Clark,,
,St Matthews Church,St Matthews Church,"Cnr Tolosa St and Main Rd,",GLENORCHY,TAS,7010,,With Assistance,-42.832916,147.2745434,Clark,,
,Goodwood Primary School,Goodwood Primary School,"Elmsleigh Rd,",DERWENT PARK,TAS,7009,gymnasium,Full,-42.83189,147.29333,Clark,,
,Tolosa Hall,Tolosa Hall,"148 Tolosa St,",GLENORCHY,TAS,7010,,With Assistance,-42.84555,147.26505,Clark,,
,Hobart Voting Centre,Hobart Voting Centre,"Ground Level, 144 Macquarie St,",HOBART,TAS,7000,,With Assistance,-42.885213,147.327484,Clark,,Yes
,St Peter's Hall,St Peter's Hall,"Cnr Brisbane and Harrington Sts,",HOBART,TAS,7000,St Marys College,None,-42.88159,147.32031,Clark,,
,Lenah Valley Primary School,Lenah Valley Primary School,"11 Creek Rd,",LENAH VALLEY,TAS,7008,"hall, access from Colebrook St",With Assistance,-42.861704,147.291106,Clark,,
,Southern ITF Taekwon-Do,Southern ITF Taekwon-Do,"12 Ashbolt Cres,",LUTANA,TAS,7009,Church,None,-42.8434243,147.3089939,Clark,,
,Bowen Road Primary School,Bowen Road Primary School,"35 Bowen Rd,",MOONAH,TAS,7009,gymnasium,With Assistance,-42.8472392,147.3072554,Clark,,
,Moonah Community Centre,Moonah Community Centre,"7 Gormanston Road,",MOONAH,TAS,7009,gymnasium/court,With Assistance,-42.84612742,147.2997299,Clark,,
,Moonah Primary School,Moonah Primary School,"40 Derwent Park Rd,",DERWENT PARK,TAS,7009,hall,With Assistance,-42.83843,147.29633,Clark,,
,Mt Nelson Primary School,Mt Nelson Primary School,"388 Nelson Rd,",MOUNT NELSON,TAS,7007,hall,With Assistance,-42.91353,147.32305,Clark,,
,Mt Stuart Primary School,Mt Stuart Primary School,"106 Gillon Cres,",MOUNT STUART,TAS,7000,general purpose room,None,-42.87507,147.29906,Clark,,
,Sacred Heart College,Sacred Heart College,"2 Cross St,",NEW TOWN,TAS,7008,Mackillop Court,None,-42.86136,147.30396,Clark,,
,The Friends' School,The Friends' School,"395 Argyle St,",NORTH HOBART,TAS,7000,"The Farrall Centre, access from 393 Argyle St",With Assistance,-42.865999,147.313782,Clark,,
,Hobart North Uniting Church,Hobart North Uniting Church,"Swan St,",NORTH HOBART,TAS,7000,New Town Room,With Assistance,-42.87271,147.31425,Clark,,
,Montrose Bay High School,Montrose Bay High School,"865 Brooker Ave,",ROSETTA,TAS,7010,"gymnasium, access from Foreshore Rd, Glenorchy",With Assistance,-42.819487,147.265325,Clark,,
,Harold Gregg Centre (Sandown Village),Harold Gregg Centre (Sandown Village),"1 Southerwood Dr,",SANDY BAY,TAS,7005,,With Assistance,-42.91389,147.35476,Clark,,
,St Stephen's Church Hall,St Stephen's Church Hall,"520 Sandy Bay Rd,",SANDY BAY,TAS,7005,upper hall,With Assistance,-42.9089197,147.3466316,Clark,,
,Waimea Heights Primary School,Waimea Heights Primary School,"12 Balfour Ct,",SANDY BAY,TAS,7005,general purpose room,None,-42.90873,147.33711,Clark,,
,Wellspring Anglican Church Hall,Wellspring Anglican Church Hall,"43-47 Grosvenor St,",SANDY BAY,TAS,7005,,With Assistance,-42.89916,147.3266,Clark,,
,Badminton Association Centre,Badminton Association Centre,"101 Cascade Rd,",SOUTH HOBART,TAS,7004,Social Hall - not on court,None,-42.89504,147.29921,Clark,,
,St Francis Xavier's Church Hall,St Francis Xavier's Church Hall,"34 Anglesea St,",SOUTH HOBART,TAS,7004,,With Assistance,-42.89497,147.31223,Clark,,
,Taroona Primary School,Taroona Primary School,"104 Channel Hwy,",TAROONA,TAS,7053,general purpose hall,With Assistance,-42.94294,147.35492,Clark,,
,AA Lord Village (Lawrenny Court),AA Lord Village (Lawrenny Court),"131 Hill Street,",WEST HOBART,TAS,7000,Community Hall,With Assistance,-42.87778043,147.3101353,Clark,,
,Goulburn Street Primary School,Goulburn Street Primary School,"Forest Rd,",WEST HOBART,TAS,7000,School Hall,None,-42.88763,147.31741,Clark,,
