ec_id,Division,Polling_Place_Name,Premise_Name,Premise_Address_Line_1,Premise_Address_Line_2,Premise_Locality,Premise_State,Premise_Postcode,Location_Within_Premise,Access_To_Location,Disabled_Access,VI_Vote_service,Premise_Latitude,Premise_Longitude
,Clark,Battery Point,St George's Church Hall,28 Cromwell St,,Battery Point,TAS,7004,,Access via 30 Cromwell St,Assistance,,-42.89152,147.33268
,Clark,Chigwell,Chigwell Barn,10 Bucaan St,,Chigwell,TAS,7011,,,Assistance,,-42.81133,147.24084
,Clark,Roseneath,Austins Ferry Primary School,16A Cammeray Rd,,Claremont,TAS,7011,,,Assistance,,-42.78521,147.24012
,Clark,Claremont,Claremont College,61 Claremont Link Rd,,Claremont,TAS,7011,Gym,,Assistance,,-42.79416018,147.2497183
,Clark,Windermere,Windermere Primary School,2 Cadbury Rd,,Claremont,TAS,7011,Multipurpose room,,Assistance,,-42.79934,147.25846
,Clark,Collinsvale,Collinsvale Primary School,508 Collinsvale Rd,,Collinsvale,TAS,7012,General purpose room,,Assistance,,-42.83696,147.19837
,Clark,Goodwood,Goodwood Primary School,454/458 Brooker Hwy,,Derwent Park,TAS,7009,Gym,,Assistance,,-42.83189,147.29333
,Clark,Dynnyrne,Princes Street Primary School,Randall St,,Sandy Bay,TAS,7005,Hall,Lord St entrance,Assistance,,-42.89913,147.31855
,Clark,Fern Tree,Fern Tree Fire Station,7 Summerleas Rd,,Fern Tree,TAS,7054,,,Assistance,,-42.923168,147.260428
,Clark,Glenorchy,Glenorchy Primary School,Kensington St,,Glenorchy,TAS,7010,Gym,Access via Hull St,Assistance,,-42.830908,147.267619
,Clark,Glenorchy Central,MyState Bank Arena (foyer),601 Brooker Hwy,,Glenorchy,TAS,,,,Assistance,,-42.824143,147.282025
,Clark,Merton,Tolosa Hall,148 Tolosa St,,Glenorchy,TAS,7010,,,Assistance,,-42.84555,147.26505
,Clark,Hobart City,Hobart City Hall,57-63 Macquarie St,,Hobart,TAS,7000,Main ballroom floor,,Assistance,1,-42.88072266,147.3318282
,Clark,West Hobart,St Peter's Hall,Cnr Brisbane and Harrington St,,Hobart,TAS,7000,St Mary's College,,Assistance,,-42.88159,147.32031
,Clark,Lenah Valley,Lenah Valley Primary School,11 Creek Rd,,Lenah Valley,TAS,7008,Hall,Access via Colebrook St,Assistance,,-42.861704,147.291106
,Clark,Moonah East,Bowen Road Primary School,35 Bowen Rd,,Moonah,TAS,7009,Gym,,Assistance,,-42.8472392,147.3072554
,Clark,Moonah,Moonah Community Centre,7 Gormanston Rd,,Moonah,TAS,7009,Gym/court,,Assistance,,-42.84612742,147.2997299
,Clark,Moonah North,Moonah Primary School,40 Derwent Park Rd,,Derwent Park,TAS,7009,Hall,,Assistance,,-42.83843,147.29633
,Clark,Mount Nelson,Mount Nelson Primary School,388 Nelson Rd,,Mount Nelson,TAS,7007,Hall,,Assistance,,-42.91353,147.32305
,Clark,Mount Stuart,Mount Stuart Primary School,106 Gillon Cres,,Mount Stuart,TAS,7000,General purpose room,,Assistance,,-42.87507,147.29906
,Clark,New Town West,Sacred Heart College,2 Cross St,,New Town,TAS,7008,MacKillop Court,,None,,-42.86136,147.30396
,Clark,New Town,The Friends' School,395 Argyle St,,North Hobart,TAS,7000,The Farrall Centre,Access via 393 Argyle St,Assistance,,-42.866018,147.31423
,Clark,North Hobart Central,Hobart North Uniting Church,Swan St,,North Hobart,TAS,7000,Cross/Hopkins Room,,Assistance,,-42.87271,147.31425
,Clark,Rosetta,Rosetta Primary School,32 Riverview Pde,,Rosetta,TAS,7010,,,Assistance,,-42.822316,147.258831
,Clark,Sandy Bay Beach,Harold Gregg Centre (Sandown Village),1 Southerwood Dr,,Sandy Bay,TAS,7005,,,Assistance,,-42.91389,147.35476
,Clark,Lower Sandy Bay,Sandy Bay Infant School,568 Sandy Bay Rd,,Sandy Bay,TAS,7005,General purpose hall,,Assistance,,-42.909612,147.349511
,Clark,Waimea Heights,Waimea Heights Primary School,12 Balfour Ct,,Sandy Bay,TAS,7005,General purpose room,,Assistance,,-42.90873,147.33711
,Clark,Sandy Bay,Wellspring Anglican Church Hall,43-47 Grosvenor St,,Sandy Bay,TAS,7005,,,Assistance,,-42.89916,147.3266
,Clark,Cascades,South Hobart Primary School,59 Anglesea St,,South Hobart,TAS,7004,Hall,,Assistance,,-42.89286681,147.3099678
,Clark,South Hobart,St Francis Xavier's Church Hall,34 Anglesea St,,South Hobart,TAS,7004,,,Assistance,,-42.89497,147.31223
,Clark,Taroona,Taroona Primary School,104 Channel Hwy,,Taroona,TAS,7053,General purpose hall,,Assistance,,-42.94317,147.3531
,Clark,West Hobart South,Goulburn Street Primary School,Forest Rd,,West Hobart,TAS,7000,Hall,,Assistance,,-42.88763,147.31741
,Clark,West Hobart Central,Lansdowne Crescent Primary School,15 Gourlay St,,West Hobart,TAS,7000,GP room,,Assistance,,-42.88187,147.30889
,Franklin,Adventure Bay,Adventure Bay Hall,Adventure Bay Rd,,Adventure Bay,TAS,7150,,Via Kellaway Rd,Assistance,,-43.36172,147.32839
,Franklin,Alonnah,Bruny Island District School,15 School Rd,,Alonnah,TAS,7150,Multipurpose room,,Assistance,,-43.31727,147.24625
,Franklin,Bellerive,Bellerive Primary School,20 Leslie St,,Bellerive,TAS,7018,Hall,,Assistance,,-42.873,147.37263
,Franklin,Clarence,Clarence High School,25 Wentworth St,,Bellerive,TAS,7018,ET Smith Hall - gym,,Assistance,,-42.87885,147.38962
,Franklin,Blackmans Bay,Blackmans Bay Primary School,177 Roslyn Ave,,Blackmans Bay,TAS,7052,Gym,Alternative access via Opal Dr,Assistance,,-42.996627,147.321846
,Franklin,Blackmans Bay South,Illawarra Primary School,6 Tinderbox Rd,,Blackmans Bay,TAS,7052,General purpose room,Access via Thornton Cl,Assistance,,-43.008365,147.319521
,Franklin,Cambridge,Cambridge Primary School,976 Cambridge Rd,,Cambridge,TAS,7170,Multipurpose room,,Assistance,,-42.83624,147.44195
,Franklin,Clarendon Vale,Clarendon Vale Primary School,25 Mockridge Rd,,Clarendon Vale,TAS,7019,Hall/gym,,Assistance,,-42.8864538,147.4430762
,Franklin,Cradoc,Cradoc Park,8243 Channel Hwy,,Cradoc,TAS,7109,,,Assistance,,-43.10599,147.03397
,Franklin,Cygnet,Cygnet Sports Centre,19 Louisa St,,Cygnet,TAS,7112,Multi court,,Assistance,,-43.15823579,147.0713781
,Franklin,Dover,Dover District School,6940 Huon Hwy,,Dover,TAS,7117,Yr 11&12 computer room,,Assistance,,-43.31059,147.01313
,Franklin,Geeveston,Geeveston Primary School,63 Arve Rd,,Geeveston,TAS,7116,Hall/gym,Access via School Rd,Assistance,,-43.162271,146.922048
,Franklin,Geilston Bay,Lindisfarne North Primary School,271 East Derwent Hwy,,Geilston Bay,TAS,7015,Gym,,None,,-42.83886,147.34936
,Franklin,Glen Huon,Glen Huon Primary School,801 Glen Huon Rd,,Glen Huon,TAS,7109,Multipurpose hall,,Assistance,,-43.02819,146.9624
,Franklin,Mountain River,Grove Fire Station,41 Crabtree Rd,,Grove (Mountain River),TAS,7109,,,Assistance,,-42.976128,147.0938581
,Franklin,Howden,Howden Fire Station,392 Howden Rd,,Howden,TAS,7054,,,Assistance,,-43.02331,147.29143
,Franklin,Howrah,Howrah Scout Hall,Howrah Primary School,Howrah Rd,Howrah,TAS,7018,,,Assistance,,-42.88177,147.40387
