lon,lat,polling_place_name,state,wheelchairaccess,address
147.04658,-41.36317,Legana Memorial Hall,TAS,With Assistance,"43 Fulton St, LEGANA TAS 7277"
147.21586,-41.25235,Lilydale Memorial Hall,TAS,None,"1949 Main Rd, LILYDALE TAS 7268"
147.12816,-41.40867,Launceston Church Grammar School,TAS,With Assistance,"Button St, MOWBRAY TAS 7248"
147.12779,-41.38729,Launceston North Uniting Church,TAS,With Assistance,"128 George Town Rd, NEWNHAM TAS 7248"
147.1572394,-41.4470206,Police Citizens & Youth Club,TAS,With Assistance,"148 Abbott St, NEWSTEAD TAS 7250"
147.17329,-41.46282,Norwood Primary School,TAS,With Assistance,"103 Norwood Ave, NORWOOD TAS 7250"
147.29453,-41.3948,Nunamara Hall,TAS,With Assistance,"39461 Tasman Hwy, NUNAMARA TAS 7259"
147.09152,-41.10039,Pipers River Fire Station,TAS,With Assistance,"76 School Rd, PIPERS RIVER TAS 7252"
147.12638,-41.47301,St Patricks College,TAS,With Assistance,"282 Westbury Rd, PROSPECT TAS 7250"
147.10972,-41.47909,Residential Retirement Village Clubrooms,TAS,With Assistance,"12 Casino Rise, PROSPECT VALE TAS 7250"
147.17662,-41.41627,Ravenswood Heights Primary School,TAS,With Assistance,"27 Prossers Forest Rd, RAVENSWOOD TAS 7250"
147.73579,-41.24219,Ringarooma Hall,TAS,With Assistance,"Charles St, RINGAROOMA TAS 7263"
147.09891,-41.40874,Riverside High School,TAS,With Assistance,"354 West Tamar Hwy, RIVERSIDE TAS 7250"
147.12155,-41.37763,Brooks High School,TAS,With Assistance,"215 George Town Rd, ROCHERLEA TAS 7248"
147.51498,-41.1623,St Barnabas' Church Hall,TAS,None,"55 King St, SCOTTSDALE TAS 7260"
147.14401,-41.45287,Launceston RSL,TAS,With Assistance,"313-315 Wellington St, SOUTH LAUNCESTON TAS 7249"
147.1537,-41.45903,St Mark's Church Hall,TAS,With Assistance,"6 Hobart Rd, SOUTH LAUNCESTON TAS 7249"
147.20031,-41.4597,St Leonards Primary School,TAS,With Assistance,"330-342 St Leonards Rd, ST LEONARDS TAS 7250"
147.13,-41.46768,Summerdale Community Centre,TAS,With Assistance,"82-84 Stanley St, SUMMERHILL TAS 7250"
147.10612,-41.43059,Trevallyn Life Church,TAS,With Assistance,"34 Pitt Ave, TREVALLYN TAS 7250"
147.11397,-41.43784,Trevallyn Primary School,TAS,Full,"55 Gorge Rd, TREVALLYN TAS 7250"
147.19002,-41.43332,Waverley Primary School,TAS,With Assistance,"6 Naroo St, WAVERLEY TAS 7250"
147.1285,-41.44964,West Launceston Primary School,TAS,With Assistance,"24-38 Basin Rd, WEST LAUNCESTON TAS 7250"
147.15443,-41.01518,Weymouth Hall,TAS,With Assistance,"18 Major St, WEYMOUTH TAS 7252"
148.01827,-40.1217,Whitemark Lions Club,TAS,With Assistance,"James St, WHITEMARK TAS 7255"
147.82404,-41.09807,Winnaleah Memorial Hall,TAS,None,"20 Main St, WINNALEAH TAS 7263"
147.16386,-41.48235,Youngtown Primary School,TAS,With Assistance,"Cnr Victoria  AND  Napier St, YOUNGTOWN TAS 7249"
146.17396,-41.21375,Abbotsham Hall,TAS,With Assistance,"590 Castra Rd, ABBOTSHAM TAS 7321"
145.89258,-41.07219,Burnie Child and Family Centre,TAS,With Assistance,"36 Thorne St, ACTON TAS 7320"
145.63715,-40.94507,Boat Harbour Primary School,TAS,With Assistance,"17386 Bass Hwy, BOAT HARBOUR TAS 7321"
145.90595,-41.05317,Burnie City Council Offices,TAS,With Assistance,"80 Wilson St, BURNIE TAS 7320"
145.63121,-41.06851,Calder Hall,TAS,None,"1320 Calder Rd, CALDER TAS 7325"
145.868525,-41.040894,Cooee Primary School,TAS,With Assistance,"Bass Hwy, COOEE TAS 7320"
143.85416,-39.92984,Currie Town Hall,TAS,With Assistance,"Cnr Meech  AND  George Sts, CURRIE TAS 7256"
146.33886,-41.17252,Nixon St Primary School,TAS,With Assistance,"60 Nixon St, DEVONPORT TAS 7310"
146.35208,-41.18904,Reece High School,TAS,With Assistance,"41-43 Middle Rd, DEVONPORT TAS 7310"
146.35829,-41.179,St Johns Parish Hall,TAS,With Assistance,"Fenton St, DEVONPORT TAS 7310"
146.34549,-41.18583,TasTafe,TAS,With Assistance,"20-36 Valley Rd, DEVONPORT TAS 7310"
146.31804,-41.18256,Don Memorial Hall,TAS,With Assistance,"17 Forth Rd, DON TAS 7310"
146.37111,-41.17836,East Devonport Primary School,TAS,With Assistance,"19-31 Thomas St, DEVONPORT TAS 7310"
145.09329,-40.96994,Edith Creek Primary School,TAS,With Assistance,"1282 Trowutta Rd, EDITH CREEK TAS 7330"
145.78229,-41.09211,Elliott Community Centre,TAS,None,"829 Murchison Hwy, ELLIOTT TAS 7325"
145.24893,-40.84865,Forest Primary School,TAS,With Assistance,"422 Mengha Rd, FOREST TAS 7330"
146.24928,-41.1934,Forth Primary School,TAS,With Assistance,"45 Wilmot Rd, FORTH TAS 7310"
146.16007,-41.18548,Gawler Hall,TAS,With Assistance,"15 Top Gawler Rd, GAWLER TAS 7315"
144.05795,-40.04842,Grassy Club,TAS,None,"Grassy Rd, GRASSY TAS 7256"
