lon,lat,polling_place_name,state,wheelchairaccess,address
146.71076,-42.48523,Ouse Online Centre,TAS,With Assistance,"6947 Lyell Hwy, OUSE TAS 7140"
147.17365,-41.57255,Perth Community Centre,TAS,With Assistance,"173 Fairtlough St, PERTH TAS 7300"
147.2655,-42.6838,Pontville Old Council Chambers,TAS,With Assistance,"262 Midland Hwy, PONTVILLE TAS 7030"
146.5558,-41.16525,Port Sorell Memorial Hall,TAS,With Assistance,"Cnr Darling and Meredith Sts, PORT SORELL TAS 7307"
147.67292,-42.89213,Primrose Sands Community Hall,TAS,With Assistance,"570 Primrose Sands Rd, PRIMROSE SANDS TAS 7173"
146.4145571,-41.3529486,Sheffield School (Railton Campus),TAS,With Assistance,"94 Foster St, RAILTON TAS 7305"
147.49244,-42.03136,Ross Town Hall,TAS,None,"12 Bridge St, ROSS TAS 7209"
146.50295,-41.28689,Sassafras Primary School,TAS,With Assistance,"50 School Rd, SASSAFRAS TAS 7307"
148.26125,-41.45411,Scamander Sports Complex,TAS,None,"Coach Rd, SCAMANDER TAS 7215"
146.3289,-41.38166,Sheffield School,TAS,With Assistance,"12 Henry St, SHEFFIELD TAS 7306"
146.88767,-41.22195,Sidmouth Community Centre,TAS,With Assistance,"255 Batman Hwy, SIDMOUTH TAS 7270"
147.5606303,-42.7809503,Sorell Memorial Hall,TAS,With Assistance,"Cole St, SORELL TAS 7172"
148.246498,-41.323783,St Helens District High School,TAS,Full,"9 Circassian St, ST HELENS TAS 7216"
148.18508,-41.57939,St Marys Community Hall,TAS,With Assistance,"Main St, ST MARYS TAS 7215"
148.073013,-42.121899,Swansea Primary School,TAS,Full,"25 Franklin St, SWANSEA TAS 7190"
147.8673,-43.03769,Tasman Peninsula Community Centre,TAS,With Assistance,"Gourlay Rd, TARANNA TAS 7180"
147.31894,-42.69026,Tea Tree Community Hall,TAS,With Assistance,"Briar Banks Rd, TEA TREE TAS 7017"
147.909631,-42.508166,Triabunna Hall,TAS,With Assistance,"3 Vicary St, TRIABUNNA TAS 7190"
147.46179,-42.45592,Tunnack Public Hall,TAS,With Assistance,"Tunnack Rd, TUNNACK TAS 7120"
146.4562247,-41.1887792,Andrews Creek Primary School,TAS,With Assistance,"20 Westwind Dr, WESLEY VALE TAS 7307"
146.831023,-41.528113,Westbury Town Hall,TAS,With Assistance,"26 Lyall St, WESTBURY TAS 7303"
146.78779,-42.67788,Westerway Primary School,TAS,With Assistance,"1619 Gordon River Rd, WESTERWAY TAS 7140"
146.17606,-41.387,Wilmot Primary School,TAS,With Assistance,"61 Main Rd, WILMOT TAS 7310"
