ec_id,name,premises,address,lat,lon,divisions,state,wheelchair_access
,Wundowie Primary School,,"216 Boronia Street, WUNDOWIE WA 6560",-31.761234,116.382921,Central Wheatbelt,WA,None
,Wyalkatchem Community Resource Centre,,"5700 Railway Terrace, WYALKATCHEM WA 6485",-31.17983000,117.37947000,Central Wheatbelt,WA,Full
,York District High School,,"2 Trews Road, YORK WA 6302",-31.89306500,116.75992500,Central Wheatbelt,WA,None
,Churchlands District - Election Day and Early Polling Place,,"A2/4 King Edward Road, OSBORNE PARK WA 6017",-31.903940,115.805521,Churchlands,WA,None
,Churchlands Primary School,,"Cromarty Road, FLOREAT WA 6014",-31.92682000,115.79479100,Churchlands,WA,Full
,Doubleview Primary School,,"273 Flamborough Street, DOUBLEVIEW WA 6018",-31.89749400,115.77727600,Scarborough,WA,None
,Floreat Park Primary School,,"38 Chandler Avenue West , FLOREAT WA 6014",-31.93674000,115.79141000,Churchlands,WA,Full
,Floreat Park Primary School Early Learning Centre,,"124 Birkdale Street, FLOREAT WA 6014",-31.93907100,115.80156700,Churchlands,WA,Full
,Kapinara Primary School,,"2 Catesby Street, CITY BEACH WA 6015",-31.92549000,115.76243000,Churchlands,WA,Full
,Lake Monger Primary School,,"Dodd Street, WEMBLEY WA 6014",-31.92438000,115.82164000,Churchlands,WA,Full
,Wembley Downs Primary School,,"39 Bournemouth Crescent, WEMBLEY DOWNS WA 6019",-31.91095000,115.77102000,Churchlands,WA,None
,Wembley Primary School,,"41 Grantham Street, WEMBLEY WA 6014",-31.93462000,115.80972000,Churchlands,WA,Full
,West Leederville Primary School,,"58 Northwood Street, WEST LEEDERVILLE WA 6007",-31.93914000,115.83247000,Churchlands,WA,None
,Woodlands Primary School,,"7 Bentwood Avenue, WOODLANDS WA 6018",-31.91029000,115.78965000,Churchlands,WA,Full
,Yuluma Primary School,,"21 Ambrose Street, INNALOO WA 6018",-31.89179700,115.78967300,Scarborough,WA,Full
,Beeliar Primary School,,"86 The Grange , BEELIAR WA 6164",-32.13237000,115.82130000,Cockburn,WA,None
,Coogee Primary School,,"22 Mayor Road, COOGEE WA 6166",-32.12648000,115.77172000,Cockburn,WA,None
,Hammond Park Primary School,,"10 Eucalyptus Drive, HAMMOND PARK WA 6164",-32.16638200,115.84429800,Cockburn,WA,Full
,Jandakot Primary School,,"53 Baningan Avenue, SUCCESS WA 6164",-32.13889700,115.84642900,Cockburn,WA,None
,South Coogee Primary School,,"40 Ivankovich Avenue, BEELIAR WA 6164",-32.12909000,115.79767000,Cockburn,WA,Full
,St Jerome's School,,"38 Troode Street, MUNSTER WA 6166",-32.12115000,115.78257000,Cockburn,WA,Full
,Success Primary School,,"390 Wentworth Parade, SUCCESS WA 6164",-32.15304000,115.84964000,Cockburn,WA,Full
,Yangebup Primary School,,"55 Moorhen Drive, YANGEBUP WA 6164",-32.11967000,115.81949000,Cockburn,WA,None
,Allanson Primary School,,"15 Cameron Street, ALLANSON WA 6225",-33.33587100,116.09857000,Collie-Preston,WA,Full
,Australind Primary School,,"Barnes Avenue, AUSTRALIND WA 6233",-33.28059900,115.72713700,Murray-Wellington,WA,None
,Balingup Primary School,,"2 Steere Street, BALINGUP WA 6253",-33.78680500,115.98215900,Collie-Preston,WA,Full
,Boyanup Primary School,,"45 Thomas Street, BOYANUP WA 6237",-33.48606000,115.73001000,Collie-Preston,WA,Full
,Capel Community Centre,,"35 Forrest Road, CAPEL WA 6271",-33.55373600,115.56278200,Collie-Preston,WA,Full
,Clifton Park Primary School,,"139 Lucy Victoria Avenue, CLIFTON PARK WA 6233",-33.30850000,115.71100000,Collie-Preston,WA,Full
