name,premises,address,lat,lon,state,wheelchair_access
Boronia Heights,Boronia Heights State School,"194 Middle Road, BORONIA HEIGHTS, QLD Australia 4124",-27.6838036,153.01867783,QLD,Full Access
Bororen,Bororen State School,"1 Kent Street, BOROREN, QLD Australia 4678",-24.24432328,151.49142265,QLD,Assisted Access
Bouldercombe,Bouldercombe State School,"52599 Burnett Highway, BOULDERCOMBE, QLD Australia 4702",-23.56413464,150.4714644,QLD,Full Access
Boulia,Boulia State School,"Templeton Street, BOULIA, QLD Australia 4829",-22.908227999999998,139.911088,QLD,Assisted Access
Bowen,Bowen PCYC,"Cnr Queens Road & Hays Street, BOWEN, QLD Australia 4805",-20.00919788,148.25011765,QLD,Full Access
Bowenville,Bowenville State School,"2 Irvingdale Road, BOWENVILLE, QLD Australia 4404",-27.3043,151.49428,QLD,Assisted Access
Boyne Island,"Boyne Island Community Centre, Mt Larcom Room","Cnr Wyndham and Hayes Avenues, BOYNE ISLAND, QLD Australia 4680",-23.94584598,151.35373414,QLD,Full Access
Bracken Ridge East,Bracken Ridge State School,"Denham Street, BRACKEN RIDGE, QLD Australia 4017",-27.324475,153.042044,QLD,Full Access
Bracken Ridge,Bracken Ridge Uniting Church,"7 Pellinore Road, BRACKEN RIDGE, QLD Australia 4017",-27.31665515,153.03827405,QLD,Full Access
Bracken Ridge West,Norris Road State School Hall,"Pritchard Place, BRACKEN RIDGE, QLD Australia 4017",-27.317349999999998,153.025541,QLD,Full Access
Brandon,Brandon State School,"2-20 Drysdale Street, BRANDON, QLD Australia 4808",-19.55323892,147.34871864,QLD,Full Access
Branyan,Branyan Road State School,"430 Branyan Drive, BUNDABERG, QLD Australia 4670",-24.89263113,152.29396105,QLD,Assisted Access
Brassall North,Ipswich State High School Hall,"1 Hunter Street, BRASSALL, QLD Australia 4305",-27.589229999999997,152.745293,QLD,Assisted Access
Brassall,Brassall Congregational Church Hall,"3 Jellicoe Street, BRASSALL, QLD Australia 4305",-27.59478427,152.74000168,QLD,Full Access
Bray Park,Bray Park State School,"5 Hopetoun Street, BRAY PARK, QLD Australia 4500",-27.29228766,152.97540843,QLD,Full Access
Bray Park West,Bray Park State High School,"27-37 Lavarack Road, BRAY PARK, QLD Australia 4500",-27.300608,152.961843,QLD,Full Access
Bridgeman Downs,Church of the Resurrection Hall,"30 Ridley Road, BRIDGEMAN DOWNS, QLD Australia 4035",-27.352311999999998,153.003794,QLD,Full Access
